sq__ft,price
836,59
1167,68
796,68
852,69
797,81
1122,89
1104,90
1177,91
941,94
1146,98
909,100
1289,106
1020,107
1022,108
1134,110
844,113
795,116
588,120
1356,121
1118,122
1329,122
1240,123
1601,124
901,125
1088,126
963,127
1119,129
1380,131
1248,132
1039,133
1152,134
1380,136
1116,138
1039,141
1418,146
1082,147
1472,148
1146,149
1304,152
1207,154
1056,156
1043,161
1587,161
1120,164
1580,165
1955,166
1656,166
1477,168
1188,170
1590,173
1463,174
1714,174
1185,178
1406,178
1943,179
1172,181
1152,181
1851,182
1215,182
1130,182
1603,183
1479,188
1420,189
1280,192
1586,194
1362,194
2162,195
1266,198
1715,199
1820,200
936,200
1511,208
1590,212
1596,221
1341,221
1616,227
1478,231
1287,234
1277,235
1448,236
2235,236
2093,237
1193,240
2163,242
1269,244
958,244
1305,250
1591,250
1326,250
1843,254
1921,254
1541,260
1018,260
1672,265
1380,265
975,271
2372,273
1446,275
1284,280
3009,280
2056,285
1993,287
1857,291
1126,292
2213,297
1843,298
1520,299
2309,311
1914,328
1690,334
2725,335
2354,335
2185,344
1801,346
1961,347
3134,347
1915,351
2734,370
2110,372
2054,381
1830,387
1627,391
3440,394
2846,395
2359,400
2052,415
2724,461
3440,489
2462,539
2325,660
795,69
1099,70
840,71
800,78
746,78
1067,80
1316,89
1337,90
868,90
924,92
610,93
1220,98
1643,99
1080,106
1039,111
1051,111
967,114
1098,120
1050,123
1110,123
888,125
1120,125
1080,126
957,129
952,134
1211,135
1264,135
1080,140
1266,140
994,142
1202,143
722,145
1448,145
1188,145
1183,146
1320,148
1117,149
1364,150
1310,150
1006,152
1104,156
810,156
1123,156
904,157
1156,161
1321,161
1392,165
1439,168
1159,169
1671,175
1740,176
1265,179
1007,180
1716,180
1685,182
1829,184
1555,185
1120,189
1137,194
1174,195
1393,200
1289,205
1799,205
1953,205
723,207
948,211
1578,215
1317,215
1360,222
1522,225
1751,225
1465,225
1605,228
1475,229
1216,230
1315,230
1567,230
1776,234
2187,235
1291,236
1503,245
2491,245
1269,245
1176,250
1456,250
1498,250
1574,255
2170,257
1595,260
1567,261
1253,264
1768,265
2030,270
1531,270
1653,275
2056,275
2494,280
1450,286
2169,292
1440,292
1527,293
1401,294
1411,296
1284,300
2307,300
1329,300
1910,300
1981,305
2205,319
1449,330
1258,330
2575,331
539,334
2208,336
1108,339
1595,339
2159,345
2295,350
1838,356
1900,361
1718,361
2016,399
2607,402
2724,406
3192,425
1247,445
2581,450
2068,460
3992,460
3397,465
1598,484
1929,485
3070,495
2222,582
3838,613
1624,839
840,40
970,61
623,62
932,65
796,65
834,68
834,68
924,77
795,82
1250,84
984,84
1013,85
1012,90
795,90
918,91
1082,95
964,97
1404,100
888,101
1120,102
1331,112
1014,113
1448,114
966,114
779,114
836,115
1100,115
1174,116
1207,119
1995,120
804,120
958,120
1366,120
901,121
696,121
1080,122
1104,123
972,125
1390,125
1354,126
795,126
780,127
1587,127
1209,130
1139,133
1690,136
1245,139
1416,140
1300,140
1120,145
1590,147
1407,149
1646,150
1676,155
1370,155
1370,155
1351,158
1152,158
1452,160
990,160
1162,164
1182,164
1112,165
1100,167
1280,167
1280,167
1039,168
1159,170
1917,170
1520,170
1204,174
1120,178
1436,180
1451,180
1638,180
1000,182
1152,188
1154,191
1353,192
1329,192
1356,195
1505,197
1009,198
1144,200
930,203
1766,207
1940,208
1776,210
1258,212
1872,213
1112,213
1856,215
1939,215
998,215
1758,217
2142,218
950,220
1739,221
1516,222
988,223
1555,225
1212,228
1871,230
1302,230
756,230
2026,231
1375,232
1250,232
1058,233
1187,234
1324,234
1936,235
1427,236
1678,238
1798,238
2652,239
1816,240
1844,241
1306,245
2447,246
1176,247
1182,247
1160,249
1424,251
1574,252
1830,254
1724,258
1255,260
2175,261
1904,261
1808,262
2711,266
1713,266
1457,270
2724,274
1468,275
2550,277
1928,280
1922,284
1343,284
1510,285
960,285
1559,285
1624,289
2109,296
1524,296
1248,297
1876,299
1851,305
2218,311
1394,313
1410,316
1659,328
2442,331
2155,340
1810,345
2789,351
1606,353
2166,356
1871,360
1800,362
1683,365
1596,370
1179,378
1639,388
1697,400
2085,408
1744,416
1939,423
1788,427
1691,430
2002,445
4303,450
2274,470
3056,475
2503,484
1905,500
1320,506
3037,528
2660,636
3357,668
2025,677
1166,30
838,55
904,63
1032,65
904,65
1080,65
990,66
900,71
861,75
906,77
1011,85
1089,95
832,96
800,104
1292,105
810,108
1064,109
911,115
1320,115
1410,115
1115,116
1169,122
1164,122
1341,123
1219,124
1127,124
1272,124
1253,125
1120,130
1118,131
1890,137
1260,137
1400,138
1264,140
1060,145
1132,145
1466,150
1092,150
1628,151
960,155
1075,155
1428,156
1358,158
1410,160
1711,161
1483,161
1140,162
1549,165
1410,165
1240,167
1580,168
1669,168
1029,168
1103,170
2161,170
1650,173
1320,175
1200,176
1170,176
1199,178
1695,179
1157,180
1410,180
1174,180
1593,181
1093,182
1770,182
1436,185
1124,185
1139,186
1638,187
1328,188
1273,190
1082,190
1578,190
796,190
1386,191
1452,193
1513,193
1578,195
1736,195
1473,195
1150,198
1127,199
1144,200
972,201
2306,204
1479,205
1040,205
1430,205
1800,207
1953,207
1120,209
1232,210
2329,213
1351,215
1376,215
1300,216
1566,220
1115,220
1032,220
1419,220
1261,220
1637,220
1776,221
1338,222
1441,225
1991,225
2126,228
1094,229
1462,230
1074,233
2111,233
1686,239
1915,240
2367,240
1962,240
1406,242
1789,243
1876,243
1235,246
2504,246
1676,247
1367,249
1899,249
1636,250
1828,250
1438,252
1451,255
1520,255
1506,255
2605,257
1196,260
1621,260
1811,263
1540,266
1543,275
1650,276
2214,278
1443,280
1582,280
1857,285
1735,288
2096,289
1720,290
2160,290
1382,293
1721,294
1328,295
1982,298
1144,299
1623,300
1457,300
1577,300
1401,305
1502,310
1327,310
1800,310
2169,311
2004,315
2212,315
1360,315
1276,320
2962,322
1888,325
1548,328
2109,330
2484,331
2258,332
2212,334
1616,335
2372,341
2960,350
2172,350
2100,350
1795,351
2295,360
2577,367
1727,380
1485,380
1655,386
2049,395
2199,400
1304,413
2334,415
2278,420
1493,425
3261,446
2053,450
2379,455
3173,525
1348,545
1252,575
3229,575
2356,600
4400,884
5822,2
1512,56
876,61
933,62
864,68
1011,70
1158,80
1092,85
956,92
1139,93
1058,95
1040,97
1354,104
1051,105
1161,109
1004,110
1229,110
1249,112
1161,114
1010,116
1462,121
1269,122
1188,123
1570,126
1093,127
962,128
1089,129
1127,130
1309,131
970,132
1144,134
1000,134
1206,142
1285,143
1543,145
884,147
1019,148
1392,150
924,150
1217,151
1670,157
1302,157
1488,160
1373,160
1381,161
1265,164
881,165
1608,165
1344,166
1202,169
1104,170
1859,170
1232,170
1638,170
1177,171
1582,172
904,173
1340,174
1204,174
1477,176
1497,179
960,185
1428,188
1039,189
1529,189
1892,189
