beds,city,price,sq__ft,zip
2,ANTELOPE,180000,1007,95843
2,ROSEVILLE,150000,0,95747
2,SACRAMENTO,152000,1304,95835
2,SACRAMENTO,220000,1032,95818
2,SACRAMENTO,150454,924,95842
2,SACRAMENTO,96140,832,95815
2,SACRAMENTO,59222,836,95838
2,SACRAMENTO,427500,1788,95814
2,LINCOLN,330000,1449,95648
2,SACRAMENTO,93675,610,95820
2,SACRAMENTO,78000,800,95815
2,SACRAMENTO,84675,984,95820
2,SACRAMENTO,232500,1250,95834
2,SACRAMENTO,65000,1032,95815
2,ELK GROVE,71000,840,95624
2,NORTH HIGHLANDS,63000,904,95660
2,SACRAMENTO,145000,1132,95828
2,RIO LINDA,132000,970,95673
2,SACRAMENTO,81900,797,95824
2,SACRAMENTO,120000,588,95833
2,RANCHO CORDOVA,115000,911,95670
2,AUBURN,260000,1255,95603
2,CITRUS HEIGHTS,101000,888,95621
2,SACRAMENTO,85000,1011,95815
2,POLLOCK PINES,280908,1284,95726
2,LINCOLN,512000,0,95648
2,SACRAMENTO,70000,1011,95838
2,SACRAMENTO,108000,810,95822
2,AUBURN,285000,960,95603
2,SACRAMENTO,55422,838,95823
2,CAMERON PARK,210000,0,95682
2,SACRAMENTO,207973,795,95815
2,ELK GROVE,207000,1189,95758
3,SACRAMENTO,257729,2170,95829
3,FAIR OAKS,293993,1527,95628
3,ANTELOPE,194818,1362,95843
3,SACRAMENTO,136500,1380,95827
3,SACRAMENTO,240971,1962,95823
3,PLACERVILLE,300000,1329,95667
3,ELK GROVE,254200,1843,95757
3,ELK GROVE,250000,1636,95758
3,ROSEVILLE,350000,2100,95678
3,ELK GROVE,216000,1416,95624
3,FAIR OAKS,189000,1529,95628
3,SACRAMENTO,121725,696,95815
3,CITRUS HEIGHTS,198000,1073,95621
3,CITRUS HEIGHTS,30000,1166,95621
3,ROSEVILLE,250000,1498,95678
3,COOL,300000,1457,95614
3,ROSEVILLE,350000,2172,95678
3,FAIR OAKS,185000,960,95628
3,LINCOLN,276500,1650,95648
3,ANTELOPE,157296,1670,95843
3,CARMICHAEL,181872,1152,95608
3,ROCKLIN,230095,1462,95677
3,AUBURN,504000,0,95603
3,ELK GROVE,380578,1485,95758
3,SACRAMENTO,179000,1265,95823
3,SACRAMENTO,90895,1104,95842
3,SACRAMENTO,197654,1505,95838
3,SACRAMENTO,129000,1119,95832
3,CITRUS HEIGHTS,160000,1410,95610
3,SACRAMENTO,169000,1159,95842
3,SACRAMENTO,200345,1144,95823
3,POLLOCK PINES,175000,1320,95726
3,RIO LINDA,98937,1146,95673
3,SACRAMENTO,208000,1511,95834
3,SACRAMENTO,145846,1543,95828
