zip,beds,sq__ft,price
95678,3,1758,217500
95864,3,1643,99000
95757,4,2354,335750
95677,3,0,488750
95823,3,1354,104000
95682,0,0,119000
95828,3,958,244960
95832,3,1232,170000
95660,3,888,125000
95747,3,1440,292000
95660,3,1051,105000
95823,3,1266,198000
95757,3,2575,331000
95823,4,1915,351300
95811,4,1718,361948
95670,4,2109,330000
95762,0,0,541000
95831,3,2052,415000
95820,3,1039,168000
95831,4,2169,311518
95693,3,2110,372000
95765,3,1691,430922
95815,4,1316,89000
95827,4,1380,131200
95648,4,0,306000
95820,2,722,145000
95648,0,0,138000
95838,3,1219,124000
95683,0,0,97750
95835,3,1686,239000
95814,3,1627,391000
95758,1,722,100000
95842,3,1104,90895
95828,3,1120,130000
95821,3,1264,140000
95834,0,0,206000
95628,3,3173,525000
95762,0,0,622500
95825,4,1751,225000
95757,5,3433,425000
95757,5,2592,303000
95833,0,0,215500
95621,3,1137,194000
95829,4,1816,240000
95814,3,1922,284686
95762,3,0,352000
95757,3,1450,228000
95762,4,0,420000
95838,2,952,134000
95822,3,1207,154000
95648,0,0,4897
95826,8,3612,282400
95648,3,0,4897
95842,4,1943,179580
95828,3,1407,149600
95841,4,1766,207000
95648,5,2457,312000
95762,4,0,493000
95660,3,901,125000
95828,4,1872,213675
95662,4,2004,315000
95842,4,1578,195000
95823,3,1513,193500
95832,3,1302,157500
95817,2,623,62050
95828,4,1590,173000
95843,3,1479,205000
95624,4,1477,176850
95691,2,884,147000
95823,3,1650,173000
95843,4,1768,265000
95682,4,0,423000
95678,3,1770,182587
95677,3,1510,285000
95757,4,2789,351000
95758,2,1112,213697
95833,2,588,120000
95758,3,1351,215000
95835,3,1424,251000
95825,3,1285,143012
95829,4,2126,228750
95820,2,804,120000
95833,4,1448,236000
95632,3,1130,182750
95632,4,1555,225500
95628,3,1450,286013
95747,0,0,306500
95838,3,966,114000
95826,1,625,100000
95834,3,1441,225000
95648,4,0,297500
95815,1,871,106852
95822,3,1120,125000
95834,2,958,120000
95667,4,0,371086
95648,4,0,267750
95682,3,0,201000
95864,3,1348,545000
95757,5,2877,349000
95827,4,2484,331200
95843,5,2346,320000
95648,0,0,4897
95648,0,0,4897
95660,3,1051,111000
95823,4,1580,168000
95608,3,1502,310000
95648,0,0,4897
95835,3,1800,362305
95678,4,1800,310000
95822,3,1067,80000
95630,0,0,240000
95822,3,1169,122000
95843,3,1206,142000
95757,3,1302,219794
95833,4,1390,125573
95826,3,1451,180000
95834,3,1511,208000
95827,4,2213,297000
95660,3,1272,124413
95762,4,0,879000
95747,2,0,150000
95829,4,2372,273750
95758,5,2494,297000
95838,3,1353,192000
95843,3,1670,157296
95632,3,1204,174000
95621,3,1305,250000
95648,0,0,4897
95833,0,0,244500
95825,1,484,48000
95682,3,0,224500
95817,3,1019,148750
95829,4,1608,165750
95648,0,0,4897
95762,4,0,272700
95621,3,1166,30000
95608,2,1326,250134
95823,3,1289,106250
95660,3,1152,158000
95765,0,0,413000
95843,2,1043,161250
95624,3,1056,156896
95608,4,2222,582000
95824,3,924,92000
95828,3,1468,275336
95832,3,1161,114800
95648,0,0,4897
95624,3,1451,255000
95742,0,0,263500
95758,4,1776,210000
95670,3,1098,120108
95843,4,2026,231200
95747,3,1154,191500
95833,3,1127,199900
95826,1,611,60000
95843,3,1711,161500
95842,2,967,114800
95621,4,1351,158000
95823,4,1695,179000
95838,4,1887,190000
95758,3,1175,200000
95829,3,1124,185833
95608,3,1245,139500
95832,3,1638,191675
95843,3,1574,255000
95814,2,1788,427500
95842,2,840,40000
95660,2,904,63000
95842,2,1134,110700
95815,2,852,69307
95828,4,1512,56950
95842,2,924,150454
95678,3,1498,250000
95662,4,3056,475000
95835,3,1358,201528
95834,0,0,247000
95648,0,0,4897
95838,3,1370,155435
95843,3,1393,200000
95824,3,1050,123225
95648,2,1449,330000
95632,4,1770,220000
95678,0,0,500500
95648,0,0,4897
95673,3,1146,98937
95624,0,0,242000
95660,4,1240,123000
95815,4,1120,102750
95822,3,1058,95000
95762,5,0,508000
95838,2,796,65000
95816,4,1939,215000
95648,2,0,512000
95690,3,1727,380000
95825,2,810,156000
95835,1,846,115000
95758,4,1591,250000
95667,3,2025,677048
95828,4,2162,195000
95648,3,1358,229027
95670,3,1981,305000
95838,2,1011,70000
95838,3,2142,218000
95630,0,0,585000
95823,4,1590,212864
95838,4,1991,225000
95834,2,1250,232500
95833,3,1080,140000
95624,4,2494,280000
95825,0,0,225000
95832,5,2992,295000
95835,5,2800,304037
95624,4,1740,211500
95835,4,1871,360552
95838,4,1064,109000
95648,0,0,4897
95833,0,0,339500
95670,2,1520,299000
95742,4,2711,266000
95670,3,1452,193000
95826,3,1172,181000
95835,3,1170,176250
95621,4,1381,161250
95823,3,1366,120108
95834,0,0,270000
95823,4,1580,165000
95826,2,795,90000
95828,3,1188,145000
95762,3,1362,235738
95823,3,1089,129500
95825,1,682,107666
95822,4,1253,264469
95841,2,756,230522
95621,3,1199,178000
95682,3,2016,399000
95820,2,834,68000
95818,2,1089,205000
95757,4,2724,461000
95757,3,2725,335750
95823,4,1392,150000
95624,3,1188,170000
95815,4,1404,100000
95823,3,1488,160000
95635,3,2846,395000
95835,4,2175,261000
95621,2,1162,164000
95822,2,800,104250
95765,5,0,480000
95673,3,1356,121630
95834,4,2962,322000
95610,3,1216,235000
95822,3,1276,320000
95833,4,1917,170000
95762,4,0,471000
95758,4,1899,249000
