,flow
1906-01-31,4.1626
1906-02-28,5.4935
1906-03-31,7.1925
1906-04-30,205.5237
1906-05-31,168.0322
1906-06-30,400.6834
1906-07-31,342.6339
1906-08-31,427.0181
1906-09-30,454.4854
1906-10-31,179.4156
1906-11-30,28.9115
1906-12-31,11.8648
1907-01-31,8.4384
1907-02-28,15.9424
1907-03-31,112.4745
1907-04-30,117.5716
1907-05-31,420.5052
1907-06-30,699.7094
1907-07-31,442.8755
1907-08-31,345.4656
1907-09-30,314.6002
1907-10-31,155.8843
1907-11-30,42.3903
1907-12-31,23.0216
1908-01-31,19.6236
1908-02-29,23.3331
1908-03-31,50.6022
1908-04-30,73.6238
1908-05-31,55.4444
1908-06-30,93.2757
1908-07-31,127.0577
1908-08-31,130.1159
1908-09-30,73.7371
1908-10-31,24.6357
1908-11-30,5.6634
1908-12-31,3.483
1909-01-31,10.8737
1909-02-28,12.4877
1909-03-31,17.1317
1909-04-30,687.8163
1909-05-31,440.0438
1909-06-30,182.9835
1909-07-31,226.3649
1909-08-31,269.2649
1909-09-30,216.6805
1909-10-31,65.5252
1909-11-30,17.1883
1909-12-31,8.1269
1910-01-31,14.4699
1910-02-28,130.0027
1910-03-31,265.5837
1910-04-30,241.3728
1910-05-31,148.5219
1910-06-30,297.3269
1910-07-31,297.0438
1910-08-31,225.1473
1910-09-30,64.081
1910-10-31,14.6115
1910-11-30,6.0315
1910-12-31,5.6917
1911-01-31,9.6844
1911-02-28,15.2628
1911-03-31,45.222
1911-04-30,392.7547
1911-05-31,300.1586
1911-06-30,367.5527
1911-07-31,427.3013
1911-08-31,410.5943
1911-09-30,501.7746
1911-10-31,90.5856
1911-11-30,12.9974
1911-12-31,8.6083
1912-01-31,9.9109
1912-02-29,12.1762
1912-03-31,11.3267
1912-04-30,32.0547
1912-05-31,22.6535
1912-06-30,54.4533
1912-07-31,81.2127
1912-08-31,193.7722
1912-09-30,135.0147
1912-10-31,23.503
1912-11-30,5.9182
1912-12-31,9.3729
1913-01-31,6.881
1913-02-28,41.5975
1913-03-31,16.9618
1913-04-30,44.5707
1913-05-31,36.4438
1913-06-30,49.4412
1913-07-31,170.9205
1913-08-31,204.3061
1913-09-30,72.0664
1913-10-31,17.3865
1913-11-30,8.0137
1913-12-31,4.3608
1914-01-31,4.3891
1914-02-28,13.7903
1914-03-31,60.8529
1914-04-30,484.5013
1914-05-31,198.6427
1914-06-30,229.7629
1914-07-31,266.7447
1914-08-31,330.1745
1914-09-30,186.7213
1914-10-31,59.8618
1914-11-30,12.7709
1914-12-31,5.4085
1915-01-31,9.4012
1915-02-28,10.6188
1915-03-31,19.2838
1915-04-30,43.7495
1915-05-31,260.9115
1915-06-30,131.645
1915-07-31,241.033
1915-08-31,439.4775
1915-09-30,227.4409
1915-10-31,50.0359
1915-11-30,11.0719
1915-12-31,6.3713
1916-01-31,6.1448
1916-02-29,10.7038
1916-03-31,37.1517
1916-04-30,219.2574
1916-05-31,287.6992
1916-06-30,371.8002
1916-07-31,333.2893
1916-08-31,279.6006
1916-09-30,189.9211
1916-10-31,55.8408
1916-11-30,9.6277
1916-12-31,6.2297
1917-01-31,17.7263
1917-02-28,18.4343
1917-03-31,56.8886
1917-04-30,44.9105
1917-05-31,207.6758
1917-06-30,126.548
1917-07-31,261.3928
1917-08-31,291.6636
1917-09-30,252.5014
1917-10-31,47.5723
1917-11-30,10.5339
1917-12-31,5.6067
1918-01-31,5.2386
1918-02-28,5.1253
1918-03-31,14.7248
1918-04-30,8.042
1918-05-31,63.2315
1918-06-30,144.1045
1918-07-31,209.6296
1918-08-31,141.5842
1918-09-30,54.9064
1918-10-31,9.118
1918-11-30,1.9793
1918-12-31,11.7515
1919-01-31,26.6178
1919-02-28,22.7951
1919-03-31,22.0305
1919-04-30,19.1705
1919-05-31,184.0029
1919-06-30,144.8124
1919-07-31,267.3677
1919-08-31,273.4841
1919-09-30,45.4769
1919-10-31,7.6172
1919-11-30,3.9077
1919-12-31,3.7945
1920-01-31,4.5024
1920-02-29,4.2758
1920-03-31,19.482
1920-04-30,17.9246
1920-05-31,18.406
1920-06-30,109.5862
1920-07-31,171.8266
1920-08-31,202.154
1920-09-30,77.0785
1920-10-31,15.4893
1920-11-30,5.0404
1920-12-31,4.4457
1921-01-31,15.9707
1921-02-28,72.5478
1921-03-31,125.3021
1921-04-30,218.0397
1921-05-31,160.9813
1921-06-30,246.1301
1921-07-31,205.4671
1921-08-31,242.6188
1921-09-30,176.8104
1921-10-31,35.1412
1921-11-30,9.2313
1921-12-31,6.9659
1922-01-31,11.2984
1922-02-28,22.2287
1922-03-31,62.4387
1922-04-30,54.2268
1922-05-31,189.3831
1922-06-30,155.686
1922-07-31,232.0
1922-08-31,468.6439
1922-09-30,319.1309
1922-10-31,45.1654
1922-11-30,10.1374
1922-12-31,7.4756
1923-01-31,14.1301
1923-02-28,30.1574
1923-03-31,183.7197
1923-04-30,123.5464
1923-05-31,89.4246
1923-06-30,100.3832
1923-07-31,269.3499
1923-08-31,282.0925
1923-09-30,132.4662
1923-10-31,44.7689
1923-11-30,9.9392
1923-12-31,10.6755
1924-01-31,18.2927
1924-02-29,13.2523
1924-03-31,13.3089
1924-04-30,17.5281
1924-05-31,56.747
1924-06-30,24.8905
1924-07-31,56.5771
1924-08-31,42.1355
1924-09-30,5.8616
1924-10-31,0.7589
1924-11-30,0.4474
1924-12-31,0.6909
1925-01-31,6.6261
1925-02-28,27.3258
1925-03-31,45.5335
1925-04-30,43.2681
1925-05-31,308.0873
1925-06-30,146.7662
1925-07-31,288.5487
1925-08-31,277.7883
1925-09-30,122.8102
1925-10-31,30.6105
1925-11-30,9.1747
1925-12-31,8.0137
1926-01-31,12.4028
1926-02-28,15.3477
1926-03-31,25.2869
1926-04-30,22.4553
1926-05-31,131.8433
1926-06-30,89.1981
1926-07-31,225.9401
1926-08-31,90.8405
1926-09-30,22.9933
1926-10-31,6.9943
1926-11-30,4.7572
1926-12-31,5.8333
1927-01-31,9.9958
1927-02-28,82.7702
1927-03-31,63.6563
1927-04-30,102.4787
1927-05-31,392.7547
1927-06-30,203.1734
1927-07-31,346.0319
1927-08-31,277.0521
1927-09-30,196.1508
1927-10-31,35.0846
1927-11-30,10.7887
1927-12-31,9.3162
1928-01-31,12.9691
1928-02-29,55.8975
1928-03-31,47.2042
1928-04-30,48.1103
1928-05-31,66.403
1928-06-30,457.034
1928-07-31,255.1631
1928-08-31,175.3663
1928-09-30,37.8596
1928-10-31,11.7232
1928-11-30,6.343
1928-12-31,6.1731
1929-01-31,10.2507
1929-02-28,16.084
1929-03-31,19.9634
1929-04-30,20.3598
1929-05-31,51.8765
1929-06-30,69.0648
1929-07-31,101.7991
1929-08-31,157.1302
1929-09-30,75.2662
1929-10-31,13.6487
1929-11-30,4.8422
1929-12-31,3.6529
1930-01-31,2.8317
1930-02-28,2.4069
1930-03-31,71.3585
1930-04-30,63.0333
1930-05-31,73.6804
1930-06-30,147.2476
1930-07-31,163.3599
1930-08-31,126.2648
1930-09-30,68.64
1930-10-31,11.7232
1930-11-30,5.1253
1930-12-31,6.5129
1931-01-31,7.3057
1931-02-28,16.084
1931-03-31,9.3446
1931-04-30,24.3525
1931-05-31,35.8208
1931-06-30,60.683
1931-07-31,73.9919
1931-08-31,54.4816
1931-09-30,18.5192
1931-10-31,3.8511
1931-11-30,1.8236
1931-12-31,2.6561
1932-01-31,7.0792
1932-02-29,14.6681
1932-03-31,78.6925
1932-04-30,81.0711
1932-05-31,163.275
1932-06-30,135.6943
1932-07-31,184.5692
1932-08-31,294.2121
1932-09-30,191.252
1932-10-31,42.5319
1932-11-30,8.5517
1932-12-31,6.2297
1933-01-31,10.7887
1933-02-28,14.6115
1933-03-31,19.6236
1933-04-30,21.9739
1933-05-31,28.0054
1933-06-30,66.0632
1933-07-31,113.4373
1933-08-31,162.0007
1933-09-30,156.6771
1933-10-31,17.9246
1933-11-30,7.0792
1933-12-31,4.0493
1934-01-31,11.5816
1934-02-28,18.5192
1934-03-31,53.8586
