baths	beds	city	latitude	longitude	price	sale_date	sq__ft	state	street	type	zip
1	2	SACRAMENTO	38.631913	-121.434879	59222	Wed May 21 00:00:00 EDT 2008	836	CA	3526 HIGH ST	Residential	95838
1	3	SACRAMENTO	38.47890200000001	-121.431028	68212	Wed May 21 00:00:00 EDT 2008	1167	CA	51 OMAHA CT	Residential	95823
1	2	SACRAMENTO	38.618305	-121.44383899999998	68880	Wed May 21 00:00:00 EDT 2008	796	CA	2796 BRANCH ST	Residential	95815
1	2	SACRAMENTO	38.616835	-121.439146	69307	Wed May 21 00:00:00 EDT 2008	852	CA	2805 JANETTE WAY	Residential	95815
1	2	SACRAMENTO	38.51947	-121.435768	81900	Wed May 21 00:00:00 EDT 2008	797	CA	6001 MCMAHON DR	Residential	95824
1	3	SACRAMENTO	38.662595	-121.327813	89921	Wed May 21 00:00:00 EDT 2008	1122	CA	5828 PEPPERMILL CT	Condo	95841
2	3	SACRAMENTO	38.681659	-121.351705	90895	Wed May 21 00:00:00 EDT 2008	1104	CA	6048 OGDEN NASH WAY	Residential	95842
1	3	SACRAMENTO	38.535092	-121.481367	91002	Wed May 21 00:00:00 EDT 2008	1177	CA	2561 19TH AVE	Residential	95820
2	2	RANCHO CORDOVA	38.621188	-121.270555	94905	Wed May 21 00:00:00 EDT 2008	941	CA	11150 TRINITY RIVER DR Unit 114	Condo	95670
2	3	RIO LINDA	38.700909	-121.442979	98937	Wed May 21 00:00:00 EDT 2008	1146	CA	7325 10TH ST	Residential	95673
2	3	SACRAMENTO	38.637663	-121.45152	100309	Wed May 21 00:00:00 EDT 2008	909	CA	645 MORRISON AVE	Residential	95838
2	3	SACRAMENTO	38.47074600000001	-121.458918	106250	Wed May 21 00:00:00 EDT 2008	1289	CA	4085 FAWN CIR	Residential	95823
1	1	SACRAMENTO	38.618698	-121.435833	106852	Wed May 21 00:00:00 EDT 2008	871	CA	2930 LA ROSA RD	Residential	95815
1	3	SACRAMENTO	38.482215	-121.492603	107502	Wed May 21 00:00:00 EDT 2008	1020	CA	2113 KIRK WAY	Residential	95822
2	2	SACRAMENTO	38.672914	-121.35934	108750	Wed May 21 00:00:00 EDT 2008	1022	CA	4533 LOCH HAVEN WAY	Residential	95842
2	2	SACRAMENTO	38.700051	-121.351278	110700	Wed May 21 00:00:00 EDT 2008	1134	CA	7340 HAMDEN PL	Condo	95842
1	2	RIO LINDA	38.689591	-121.452239	113263	Wed May 21 00:00:00 EDT 2008	844	CA	6715 6TH ST	Residential	95673
1	2	CITRUS HEIGHTS	38.679776	-121.314089	116250	Wed May 21 00:00:00 EDT 2008	795	CA	6236 LONGFORD DR Unit 1	Condo	95621
1	2	SACRAMENTO	38.612099	-121.469095	120000	Wed May 21 00:00:00 EDT 2008	588	CA	250 PERALTA AVE	Residential	95833
2	3	RIO LINDA	38.689999	-121.46322	121630	Wed May 21 00:00:00 EDT 2008	1356	CA	113 LEEWILL AVE	Residential	95673
2	3	CITRUS HEIGHTS	38.707851	-121.320707	122000	Wed May 21 00:00:00 EDT 2008	1118	CA	6118 STONEHAND AVE	Residential	95621
2	4	SACRAMENTO	38.468173	-121.444071	122682	Wed May 21 00:00:00 EDT 2008	1329	CA	4882 BANDALIN WAY	Residential	95823
2	4	NORTH HIGHLANDS	38.702792	-121.38221	123000	Wed May 21 00:00:00 EDT 2008	1240	CA	7511 OAKVALE CT	Residential	95660
2	3	SACRAMENTO	38.628631	-121.488097	124100	Wed May 21 00:00:00 EDT 2008	1601	CA	9 PASTURE CT	Residential	95834
2	3	NORTH HIGHLANDS	38.701499	-121.37622	125000	Wed May 21 00:00:00 EDT 2008	901	CA	3729 BAINBRIDGE DR	Residential	95660
2	3	ANTELOPE	38.70974	-121.37377	126640	Wed May 21 00:00:00 EDT 2008	1088	CA	3828 BLACKFOOT WAY	Residential	95843
1	3	SACRAMENTO	38.537526	-121.478315	127281	Wed May 21 00:00:00 EDT 2008	963	CA	4108 NORTON WAY	Residential	95820
2	3	SACRAMENTO	38.476472	-121.501711	129000	Wed May 21 00:00:00 EDT 2008	1119	CA	1469 JANRICK AVE	Residential	95832
2	4	SACRAMENTO	38.558423	-121.327948	131200	Wed May 21 00:00:00 EDT 2008	1380	CA	9861 CULP WAY	Residential	95827
2	3	SACRAMENTO	38.472122	-121.404199	132000	Wed May 21 00:00:00 EDT 2008	1248	CA	7825 CREEK VALLEY CIR	Residential	95828
2	2	ELK GROVE	38.423251	-121.444489	133000	Wed May 21 00:00:00 EDT 2008	1039	CA	5201 LAGUNA OAKS DR Unit 140	Condo	95758
2	3	NORTH HIGHLANDS	38.691161	-121.37192	134555	Wed May 21 00:00:00 EDT 2008	1152	CA	6768 MEDORA DR	Residential	95660
2	3	SACRAMENTO	38.566663	-121.332644	136500	Wed May 21 00:00:00 EDT 2008	1380	CA	3100 EXPLORER DR	Residential	95827
2	3	ELVERTA	38.713182	-121.411227	138750	Wed May 21 00:00:00 EDT 2008	1116	CA	7944 DOMINION WAY	Residential	95626
2	2	ELK GROVE	38.423251	-121.444489	141000	Wed May 21 00:00:00 EDT 2008	1039	CA	5201 LAGUNA OAKS DR Unit 162	Condo	95758
2	3	SACRAMENTO	38.48742	-121.462459	146250	Wed May 21 00:00:00 EDT 2008	1418	CA	3920 SHINING STAR DR	Residential	95823
2	3	NORTH HIGHLANDS	38.65824600000001	-121.375469	147308	Wed May 21 00:00:00 EDT 2008	1082	CA	5031 CORVAIR ST	Residential	95660
2	4	SACRAMENTO	38.479553	-121.463317	148750	Wed May 21 00:00:00 EDT 2008	1472	CA	7661 NIXOS WAY	Residential	95823
2	4	SACRAMENTO	38.49857	-121.420925	149593	Wed May 21 00:00:00 EDT 2008	1146	CA	7044 CARTHY WAY	Residential	95828
1	1	SACRAMENTO	38.58514	-121.403736	150000	Wed May 21 00:00:00 EDT 2008	760	CA	2442 LARKSPUR LN	Condo	95825
