street,city,state,zip,beds,baths,sq__ft,type,sale_date,price,latitude,longitude,price_mean,price_median,s_price_mean,n_price_mean,s_sq__ft,n_sq__ft,b_price,p_price
3526 HIGH ST,SACRAMENTO,CA,95838,2,1,836,Residential,2008-05-21T00:00:00Z,59222.0,38.631913,-121.43487900000001,59222.0,59222.0,-1.2727911277850363,0.06529489753056647,-0.554828327358073,0.14359326691858468,1,1
51 OMAHA CT,SACRAMENTO,CA,95823,3,1,1167,Residential,2008-05-21T00:00:00Z,68212.0,38.47890200000001,-121.431028,68212.0,68212.0,-1.2063890502300536,0.07547334300229043,-0.16359729233049924,0.20044658193060805,1,1
2796 BRANCH ST,SACRAMENTO,CA,95815,2,1,796,Residential,2008-05-21T00:00:00Z,68880.0,38.618305,-121.44383899999998,68880.0,68880.0,-1.2014550582604508,0.07622965018528394,-0.6021070022858764,0.136722775678461,1,1
2805 JANETTE WAY,SACRAMENTO,CA,95815,2,1,852,Residential,2008-05-21T00:00:00Z,69307.0,38.616834999999995,-121.439146,69307.0,69307.0,-1.1983011442319773,0.07671309804028129,-0.5359168573869516,0.14634146341463414,1,1
2805 JANETTE WAY,SACRAMENTO,CA,95815,2,1,852,Residential,2008-05-21T00:00:00Z,69307.0,38.616834999999995,-121.439146,69307.0,69307.0,-1.1983011442319773,0.07671309804028129,-0.5359168573869516,0.14634146341463414,1,1
6001 MCMAHON DR,SACRAMENTO,CA,95824,2,1,797,Residential,2008-05-21T00:00:00Z,81900.0,38.51947,-121.435768,81900.0,81900.0,-1.105286532146338,0.09097084707536693,-0.6009250354126814,0.1368945379594641,1,1
5828 PEPPERMILL CT,SACRAMENTO,CA,95841,3,1,1122,Condo,2008-05-21T00:00:00Z,89921.0,38.662595,-121.32781299999999,89921.0,89921.0,-1.0460416974334883,0.1000521942531976,-0.21678580162427816,0.19271727928546886,1,1
6048 OGDEN NASH WAY,SACRAMENTO,CA,95842,3,2,1104,Residential,2008-05-21T00:00:00Z,90895.0,38.681659,-121.35170500000001,90895.0,90895.0,-1.0388475235137384,0.10115495352899953,-0.2380612053417897,0.18962555822741325,1,2
2561 19TH AVE,SACRAMENTO,CA,95820,3,1,1177,Residential,2008-05-21T00:00:00Z,91002.0,38.535092,-121.48136699999999,91002.0,91002.0,-1.0380571984527391,0.10127609854184427,-0.15177762359854838,0.20216420474063893,1,2
11150 TRINITY RIVER DR Unit 114,RANCHO CORDOVA,CA,95670,2,2,941,Condo,2008-05-21T00:00:00Z,94905.0,38.621188000000004,-121.270555,94905.0,94905.0,-1.0092287992650752,0.105695061019724,-0.4307218056725889,0.1616283064239093,1,2
7325 10TH ST,RIO LINDA,CA,95673,3,2,1146,Residential,2008-05-21T00:00:00Z,98937.0,38.700909,-121.44297900000001,98937.0,98937.0,-0.9794475782748984,0.11026007683084646,-0.18841859666759608,0.1968395740295431,1,2
645 MORRISON AVE,SACRAMENTO,CA,95838,3,2,909,Residential,2008-05-21T00:00:00Z,100309.0,38.637663,-121.45152,100309.0,100309.0,-0.969313690576852,0.11181345026657563,-0.4685447456148317,0.15613191343181038,1,2
4085 FAWN CIR,SACRAMENTO,CA,95823,3,2,1289,Residential,2008-05-21T00:00:00Z,106250.0,38.47074600000001,-121.458918,106250.0,106250.0,-0.9254321841525859,0.11853982897041458,-0.01939733380069866,0.22140158021298526,1,2
2930 LA ROSA RD,SACRAMENTO,CA,95815,1,1,871,Residential,2008-05-21T00:00:00Z,106852.0,38.618697999999995,-121.435833,106852.0,106852.0,-0.9209856824075248,0.1192214111922141,-0.513459486796245,0.1496049467536929,1,2
2930 LA ROSA RD,SACRAMENTO,CA,95815,1,1,871,Residential,2008-05-21T00:00:00Z,106852.0,38.618697999999995,-121.435833,106852.0,106852.0,-0.9209856824075248,0.1192214111922141,-0.513459486796245,0.1496049467536929,1,2
2113 KIRK WAY,SACRAMENTO,CA,95822,3,1,1020,Residential,2008-05-21T00:00:00Z,107502.0,38.482215000000004,-121.492603,107502.0,107502.0,-0.9161846423173424,0.11995733884033652,-0.33734642269017706,0.17519752662315355,1,2
4533 LOCH HAVEN WAY,SACRAMENTO,CA,95842,2,2,1022,Residential,2008-05-21T00:00:00Z,108750.0,38.672914,-121.35933999999999,108750.0,108750.0,-0.9069666453441926,0.1213703199247316,-0.33498248894378685,0.17554105118515975,1,2
7340 HAMDEN PL,SACRAMENTO,CA,95842,2,2,1134,Condo,2008-05-21T00:00:00Z,,38.700051,-121.35127800000001,148539.70833333337,156394.0,-0.6130712839826634,0.16642008372969647,-0.2026021991459371,0.194778426657506,1,3
6715 6TH ST,RIO LINDA,CA,95673,2,1,844,Residential,2008-05-21T00:00:00Z,113263.0,38.689591,-121.45223899999999,113263.0,113263.0,-0.8736326546872807,0.12647992219546464,-0.5453725923725123,0.1449673651666094,1,2
6236 LONGFORD DR Unit 1,CITRUS HEIGHTS,CA,95621,2,1,795,Condo,2008-05-21T00:00:00Z,,38.679776000000004,-121.314089,178384.52380952382,178000.0,-0.3926310446206893,0.2002102758251434,-0.6032889691590716,0.13655101339745793,2,4
250 PERALTA AVE,SACRAMENTO,CA,95833,2,1,588,Residential,2008-05-21T00:00:00Z,120000.0,38.612099,-121.469095,120000.0,120000.0,-0.8238717207064221,0.1341075292191581,-0.8479561119104545,0.10099622122981793,1,2
113 LEEWILL AVE,RIO LINDA,CA,95673,3,2,1356,Residential,2008-05-21T00:00:00Z,121630.0,38.689999,-121.46321999999999,121630.0,121630.0,-0.8118321894033496,0.1359530093213728,0.05979444670337216,0.2329096530401924,1,2
6118 STONEHAND AVE,CITRUS HEIGHTS,CA,95621,3,2,1118,Residential,2008-05-21T00:00:00Z,,38.707851,-121.32070700000001,178384.52380952382,178000.0,-0.3926310446206893,0.2002102758251434,-0.2215136691170585,0.19203023016145654,2,4
4882 BANDALIN WAY,SACRAMENTO,CA,95823,4,2,1329,Residential,2008-05-21T00:00:00Z,122682.0,38.468173,-121.444071,122682.0,122682.0,-0.8040618906727777,0.1371440799149494,0.027881341127104813,0.2282720714531089,1,2
7511 OAKVALE CT,NORTH HIGHLANDS,CA,95660,4,2,1240,Residential,2008-05-21T00:00:00Z,123000.0,38.702791999999995,-121.38221000000001,123000.0,123000.0,-0.80171307413635,0.13750411836433854,-0.07731371058725793,0.21298522844383372,1,2
7511 OAKVALE CT,NORTH HIGHLANDS,CA,95660,4,2,1240,Residential,2008-05-21T00:00:00Z,123000.0,38.702791999999995,-121.38221000000001,123000.0,123000.0,-0.80171307413635,0.13750411836433854,-0.07731371058725793,0.21298522844383372,1,2
9 PASTURE CT,SACRAMENTO,CA,95834,3,2,1601,Residential,2008-05-21T00:00:00Z,124100.0,38.628631,-121.488097,124100.0,124100.0,-0.7935882370606568,0.138749534384238,0.3493763306361684,0.27499141188594983,1,2
9 PASTURE CT,SACRAMENTO,CA,95834,3,2,1601,Residential,2008-05-21T00:00:00Z,124100.0,38.628631,-121.488097,124100.0,124100.0,-0.7935882370606568,0.138749534384238,0.3493763306361684,0.27499141188594983,1,2
3729 BAINBRIDGE DR,NORTH HIGHLANDS,CA,95660,3,2,901,Residential,2008-05-21T00:00:00Z,125000.0,38.701499,-121.37621999999999,125000.0,125000.0,-0.7869406430896353,0.13976851112779215,-0.4780004806003924,0.15475781518378565,1,2
3828 BLACKFOOT WAY,ANTELOPE,CA,95843,3,2,1088,Residential,2008-05-21T00:00:00Z,126640.0,38.709740000000004,-121.37377,126640.0,126640.0,-0.7748272496313292,0.1416253131938241,-0.2569726753129111,0.1868773617313638,1,2
4108 NORTON WAY,SACRAMENTO,CA,95820,3,1,963,Residential,2008-05-21T00:00:00Z,127281.0,38.537526,-121.478315,127281.0,127281.0,-0.7700926854808571,0.142351051074511,-0.40471853446229694,0.16540707660597734,1,3
4108 NORTON WAY,SACRAMENTO,CA,95820,3,1,963,Residential,2008-05-21T00:00:00Z,127281.0,38.537526,-121.478315,127281.0,127281.0,-0.7700926854808571,0.142351051074511,-0.40471853446229694,0.16540707660597734,1,3
1469 JANRICK AVE,SACRAMENTO,CA,95832,3,2,1119,Residential,2008-05-21T00:00:00Z,129000.0,38.476471999999994,-121.50171100000001,129000.0,129000.0,-0.7573957809962057,0.14429729665469934,-0.22033170224386345,0.19220199244245964,1,3
