street,zip,state,city,beds,baths,sq__ft,sale_date,price,latitude,longitude,price_mean,price_median,n_price_mean,s_price_mean,n_sq__ft,s_sq__ft,b_price,p_price,d_Condo,d_Multi-Family,d_Residential,d_Unkown
3526 HIGH ST,95838,CA,SACRAMENTO,2,1,836,2008-05-21T00:00:00Z,59222.0,38.631913,-121.434879,59222.0,59222.0,0.06529489753056647,-1.291772639365353,0.14359326691858468,-0.5631677764103005,1,1,0.0,0.0,1.0,0.0
51 OMAHA CT,95823,CA,SACRAMENTO,3,1,1167,2008-05-21T00:00:00Z,68212.0,38.47890200000001,-121.431028,68212.0,68212.0,0.07547334300229043,-1.2252865628392071,0.20044658193060805,-0.1754038107747524,1,1,0.0,0.0,1.0,0.0
2796 BRANCH ST,95815,CA,SACRAMENTO,2,1,796,2008-05-21T00:00:00Z,68880.0,38.618305,-121.44383899999998,68880.0,68880.0,0.07622965018528394,-1.2203463293442725,0.136722775678461,-0.6100274701426931,1,1,0.0,0.0,1.0,0.0
2805 JANETTE WAY,95815,CA,SACRAMENTO,2,1,852,2008-05-21T00:00:00Z,69307.0,38.616835,-121.439146,69307.0,69307.0,0.07671309804028129,-1.2171884255982588,0.14634146341463414,-0.5444238989173436,1,1,0.0,0.0,1.0,0.0
6001 MCMAHON DR,95824,CA,SACRAMENTO,2,1,797,2008-05-21T00:00:00Z,81900.0,38.51947,-121.435768,81900.0,81900.0,0.09097084707536693,-1.1240561495477859,0.1368945379594641,-0.6088559777993833,1,1,0.0,0.0,1.0,0.0
5828 PEPPERMILL CT,95841,CA,SACRAMENTO,3,1,1122,2008-05-21T00:00:00Z,89921.0,38.662595,-121.327813,89921.0,89921.0,0.1000521942531976,-1.0647363698129455,0.19271727928546886,-0.228120966223694,1,1,1.0,0.0,0.0,0.0
6048 OGDEN NASH WAY,95842,CA,SACRAMENTO,3,2,1104,2008-05-21T00:00:00Z,90895.0,38.681659,-121.351705,90895.0,90895.0,0.10115495352899953,-1.0575330952260196,0.18962555822741325,-0.2492078284032706,1,2,0.0,0.0,1.0,0.0
2561 19TH AVE,95820,CA,SACRAMENTO,3,1,1177,2008-05-21T00:00:00Z,91002.0,38.535092,-121.481367,91002.0,91002.0,0.10127609854184427,-1.0567417703997353,0.20216420474063893,-0.16368888734165427,1,2,0.0,0.0,1.0,0.0
11150 TRINITY RIVER DR Unit 114,95670,CA,RANCHO CORDOVA,2,2,941,2008-05-21T00:00:00Z,94905.0,38.621188,-121.270555,94905.0,94905.0,0.105695061019724,-1.0278769031381616,0.1616283064239093,-0.4401610803627701,1,2,1.0,0.0,0.0,0.0
7325 10TH ST,95673,CA,RIO LINDA,3,2,1146,2008-05-21T00:00:00Z,98937.0,38.700909,-121.442979,98937.0,98937.0,0.11026007683084646,-0.9980580087495724,0.1968395740295431,-0.20000514998425847,1,2,0.0,0.0,1.0,0.0
645 MORRISON AVE,95838,CA,SACRAMENTO,3,2,909,2008-05-21T00:00:00Z,100309.0,38.637663,-121.45152,100309.0,100309.0,0.11181345026657563,-0.9879113016312328,0.15613191343181038,-0.4776488353486842,1,2,0.0,0.0,1.0,0.0
4085 FAWN CIR,95823,CA,SACRAMENTO,3,2,1289,2008-05-21T00:00:00Z,106250.0,38.47074600000001,-121.458918,106250.0,106250.0,0.11853982897041458,-0.9439742848746332,0.22140158021298528,-0.032481744890955185,1,2,0.0,0.0,1.0,0.0
2930 LA ROSA RD,95815,CA,SACRAMENTO,1,1,871,2008-05-21T00:00:00Z,106852.0,38.618698,-121.435833,106852.0,106852.0,0.1192214111922141,-0.9395221582818924,0.1496049467536929,-0.5221655443944571,1,2,0.0,0.0,1.0,0.0
2113 KIRK WAY,95822,CA,SACRAMENTO,3,1,1020,2008-05-21T00:00:00Z,107502.0,38.482215,-121.492603,107502.0,107502.0,0.11995733884033652,-0.9347150448511924,0.17519752662315355,-0.3476131852412949,1,2,0.0,0.0,1.0,0.0
4533 LOCH HAVEN WAY,95842,CA,SACRAMENTO,2,2,1022,2008-05-21T00:00:00Z,108750.0,38.672914,-121.35934,108750.0,108750.0,0.1213703199247316,-0.925485387064248,0.17554105118515975,-0.3452702005546753,1,2,0.0,0.0,1.0,0.0
7340 HAMDEN PL,95842,CA,SACRAMENTO,2,2,1134,2008-05-21T00:00:00Z,,38.700051,-121.351278,145874.95,156394.0,0.16340305398652008,-0.6509256243579826,0.194778426657506,-0.21406305810397624,1,3,1.0,0.0,0.0,0.0
6715 6TH ST,95673,CA,RIO LINDA,2,1,844,2008-05-21T00:00:00Z,113263.0,38.689591,-121.452239,113263.0,113263.0,0.12647992219546464,-0.8921092287369404,0.1449673651666094,-0.553795837663822,1,2,0.0,0.0,1.0,0.0
6236 LONGFORD DR Unit 1,95621,CA,CITRUS HEIGHTS,2,1,795,2008-05-21T00:00:00Z,,38.679776,-121.314089,179974.0,183918.0,0.20200987501684145,-0.3987440840054953,0.13655101339745793,-0.6111989624860028,2,4,1.0,0.0,0.0,0.0
250 PERALTA AVE,95833,CA,SACRAMENTO,2,1,588,2008-05-21T00:00:00Z,120000.0,38.612099,-121.469095,120000.0,120000.0,0.1341075292191581,-0.8422853469175142,0.10099622122981793,-0.8536978775511341,1,2,0.0,0.0,1.0,0.0
113 LEEWILL AVE,95673,CA,RIO LINDA,3,2,1356,2008-05-21T00:00:00Z,121630.0,38.689999,-121.46322,121630.0,121630.0,0.1359530093213728,-0.8302305855451428,0.2329096530401924,0.04600824211080229,1,2,0.0,0.0,1.0,0.0
6118 STONEHAND AVE,95621,CA,CITRUS HEIGHTS,3,2,1118,2008-05-21T00:00:00Z,,38.707851,-121.320707,179974.0,183918.0,0.20200987501684145,-0.3987440840054953,0.19203023016145654,-0.2328069355969332,2,4,0.0,0.0,1.0,0.0
4882 BANDALIN WAY,95823,CA,SACRAMENTO,4,2,1329,2008-05-21T00:00:00Z,122682.0,38.468173,-121.444071,122682.0,122682.0,0.1371440799149494,-0.8224504573465329,0.2282720714531089,0.014377948841437331,1,2,0.0,0.0,1.0,0.0
7511 OAKVALE CT,95660,CA,NORTH HIGHLANDS,4,2,1240,2008-05-21T00:00:00Z,123000.0,38.702792,-121.38221,123000.0,123000.0,0.13750411836433854,-0.8200986695450518,0.21298522844383366,-0.08988486971313603,1,2,0.0,0.0,1.0,0.0
9 PASTURE CT,95834,CA,SACRAMENTO,3,2,1601,2008-05-21T00:00:00Z,124100.0,38.628631,-121.488097,124100.0,124100.0,0.138749534384238,-0.8119635545084823,0.27499141188594983,0.3330238662217065,1,2,0.0,0.0,1.0,0.0
3729 BAINBRIDGE DR,95660,CA,NORTH HIGHLANDS,3,2,901,2008-05-21T00:00:00Z,125000.0,38.701499,-121.37622,125000.0,125000.0,0.13976851112779215,-0.8053075512967436,0.15475781518378565,-0.4870207740951626,1,2,0.0,0.0,1.0,0.0
3828 BLACKFOOT WAY,95843,CA,ANTELOPE,3,2,1088,2008-05-21T00:00:00Z,126640.0,38.70974,-121.37377,126640.0,126640.0,0.1416253131938241,-0.7931788343331309,0.1868773617313638,-0.26795170589622763,1,2,0.0,0.0,1.0,0.0
4108 NORTON WAY,95820,CA,SACRAMENTO,3,1,963,2008-05-21T00:00:00Z,127281.0,38.537526,-121.478315,127281.0,127281.0,0.142351051074511,-0.7884382809345479,0.16540707660597734,-0.4143882488099543,1,2,0.0,0.0,1.0,0.0
1469 JANRICK AVE,95832,CA,SACRAMENTO,3,2,1119,2008-05-21T00:00:00Z,129000.0,38.476472,-121.501711,129000.0,129000.0,0.14429729665469934,-0.7757253148001272,0.19220199244245964,-0.23163544325362345,1,2,0.0,0.0,1.0,0.0
9861 CULP WAY,95827,CA,SACRAMENTO,4,2,1380,2008-05-21T00:00:00Z,131200.0,38.558423,-121.327948,131200.0,131200.0,0.1467881286944983,-0.7594550847269881,0.23703194778426656,0.0741240583502378,1,3,0.0,0.0,1.0,0.0
7825 CREEK VALLEY CIR,95828,CA,SACRAMENTO,3,2,1248,2008-05-21T00:00:00Z,132000.0,38.472122,-121.404199,132000.0,132000.0,0.14769388579987974,-0.7535386374276648,0.21435932669185848,-0.08051293096665753,1,3,0.0,0.0,1.0,0.0
5201 LAGUNA OAKS DR Unit 140,95758,CA,ELK GROVE,2,2,1039,2008-05-21T00:00:00Z,133000.0,38.423251,-121.444489,133000.0,133000.0,0.14882608218160656,-0.7461430783035107,0.17846100996221229,-0.3253548307184085,1,3,1.0,0.0,0.0,0.0
6768 MEDORA DR,95660,CA,NORTH HIGHLANDS,3,2,1152,2008-05-21T00:00:00Z,134555.0,38.691161,-121.37192,134555.0,134555.0,0.15058664755519174,-0.7346429838654509,0.19787014771556166,-0.1929761959243996,1,3,0.0,0.0,1.0,0.0
3100 EXPLORER DR,95827,CA,SACRAMENTO,3,2,1380,2008-05-21T00:00:00Z,136500.0,38.566663,-121.332644,136500.0,136500.0,0.1527887695176504,-0.7202586213689713,0.23703194778426656,0.0741240583502378,1,3,0.0,0.0,1.0,0.0
7944 DOMINION WAY,95626,CA,ELVERTA,3,2,1116,2008-05-21T00:00:00Z,138750.0,38.713182,-121.411227,138750.0,138750.0,0.1553362113765357,-0.7036186133396245,0.1916867055994504,-0.2351499202835529,1,3,0.0,0.0,1.0,0.0
5201 LAGUNA OAKS DR Unit 162,95758,CA,ELK GROVE,2,2,1039,2008-05-21T00:00:00Z,141000.0,38.423251,-121.444489,141000.0,141000.0,0.157883653235421,-0.6869786053102778,0.17846100996221229,-0.3253548307184085,1,3,1.0,0.0,0.0,0.0
3920 SHINING STAR DR,95823,CA,SACRAMENTO,3,2,1418,2008-05-21T00:00:00Z,146250.0,38.48742,-121.462459,146250.0,146250.0,0.1638276842394867,-0.6481519199084687,0.2435589144623841,0.1186407673960107,1,3,0.0,0.0,1.0,0.0
5031 CORVAIR ST,95660,CA,NORTH HIGHLANDS,3,2,1082,2008-05-21T00:00:00Z,,38.65824600000001,-121.375469,135344.1052631579,125000.0,0.15148006967894068,-0.7288071092365856,0.18584678804534524,-0.2749806599560865,1,3,0.0,0.0,1.0,0.0
7661 NIXOS WAY,95823,CA,SACRAMENTO,4,2,1472,2008-05-21T00:00:00Z,148750.0,38.479553,-121.463317,148750.0,148750.0,0.16665817519380371,-0.6296630220980834,0.252834077636551,0.1819013539347406,1,3,0.0,0.0,1.0,0.0
7044 CARTHY WAY,95828,CA,SACRAMENTO,4,2,1146,2008-05-21T00:00:00Z,,38.49857,-121.420925,181664.90243902442,165000.0,0.2039243086401579,-0.3862389150445139,0.1968395740295431,-0.20000514998425847,2,4,0.0,0.0,1.0,0.0
2442 LARKSPUR LN,95825,CA,SACRAMENTO,1,1,760,2008-05-21T00:00:00Z,150000.0,38.58514,-121.403736,150000.0,150000.0,0.16807342067096226,-0.6204185731928907,0.1305393335623497,-0.6522011945018463,1,3,1.0,0.0,0.0,0.0
4800 WESTLAKE PKWY Unit 2109,95835,CA,SACRAMENTO,2,2,1304,2008-05-21T00:00:00Z,152000.0,38.658812,-121.542345,152000.0,152000.0,0.1703378134344158,-0.6056274549445826,0.2239780144280316,-0.014909359741307996,1,3,1.0,0.0,0.0,0.0
2178 63RD AVE,95822,CA,SACRAMENTO,3,2,1207,2008-05-21T00:00:00Z,154000.0,38.493955,-121.48966,154000.0,154000.0,0.17260220619786942,-0.5908363366962743,0.2073170731707317,-0.12854411704235988,1,3,0.0,0.0,1.0,0.0
8718 ELK WAY,95624,CA,ELK GROVE,3,2,1056,2008-05-21T00:00:00Z,156896.0,38.41653,-121.379653,156896.0,156896.0,0.17588104691935025,-0.5694187974727241,0.18138096873926485,-0.30543946088214163,1,3,0.0,0.0,1.0,0.0
5708 RIDGEPOINT DR,95843,CA,ANTELOPE,2,2,1043,2008-05-21T00:00:00Z,161250.0,38.72027,-121.331555,161250.0,161250.0,0.1808106299653888,-0.5372185330461571,0.17914805908622464,-0.3206688613451692,1,3,0.0,0.0,1.0,0.0
7315 KOALA CT,95660,CA,NORTH HIGHLANDS,4,2,1587,2008-05-21T00:00:00Z,161500.0,38.699251,-121.371414,161500.0,161500.0,0.18109367906082047,-0.5353696432651185,0.2725867399519066,0.3166229734153691,1,3,0.0,0.0,1.0,0.0
2622 ERIN DR,95833,CA,SACRAMENTO,4,1,1120,2008-05-21T00:00:00Z,,38.613765,-121.488694,202059.33333333328,207450.0,0.2270148095060717,-0.2354106955621772,0.19237375472346271,-0.2304639509103136,2,5,0.0,0.0,1.0,0.0
8421 SUNBLAZE WAY,95823,CA,SACRAMENTO,4,2,1580,2008-05-21T00:00:00Z,165000.0,38.450543,-121.432538,165000.0,165000.0,0.18505636639686426,-0.509485186330579,0.2713844039848849,0.3084225270122004,1,4,0.0,0.0,1.0,0.0
7420 ALIX PKWY,95823,CA,SACRAMENTO,4,1,1955,2008-05-21T00:00:00Z,166357.0,38.489405,-121.452811,166357.0,166357.0,0.18659275688686755,-0.4994494125991019,0.3357952593610443,0.7477321557533804,1,4,0.0,0.0,1.0,0.0
3820 NATOMA WAY,95838,CA,SACRAMENTO,4,2,1656,2008-05-21T00:00:00Z,166357.0,38.636748,-121.422159,166357.0,166357.0,0.18659275688686755,-0.4994494125991019,0.2844383373411199,0.3974559451037462,1,4,0.0,0.0,1.0,0.0
4431 GREEN TREE DR,95823,CA,SACRAMENTO,3,2,1477,2008-05-21T00:00:00Z,168000.0,38.499954,-121.454469,168000.0,168000.0,0.1884529555420447,-0.4872985089581167,0.25369288904156645,0.18775881565128968,1,4,0.0,0.0,1.0,0.0
9417 SARA ST,95624,CA,ELK GROVE,3,2,1188,2008-05-21T00:00:00Z,,38.415518,-121.370527,253319.37931034484,233500.0,0.28505124808839377,0.14368600516766986,0.20405358983167296,-0.15080247156524632,2,7,0.0,0.0,1.0,0.0
8299 HALBRITE WAY,95828,CA,SACRAMENTO,4,2,1590,2008-05-21T00:00:00Z,173000.0,38.473814,-121.4,173000.0,173000.0,0.1941139374506787,-0.4503207133373461,0.27310202679491585,0.32013745044529857,1,4,0.0,0.0,1.0,0.0
7223 KALLIE KAY LN,95823,CA,SACRAMENTO,3,2,1463,2008-05-21T00:00:00Z,174250.0,38.477553,-121.419463,174250.0,174250.0,0.1955291829278372,-0.4410762644321535,0.2512882171075232,0.1713579228449523,1,4,0.0,0.0,1.0,0.0
8156 STEINBECK WAY,95828,CA,SACRAMENTO,4,2,1714,2008-05-21T00:00:00Z,174313.0,38.474853,-121.406326,174313.0,174313.0,0.19560051129988604,-0.4406103442073318,0.29440054963929924,0.4654025010157154,1,4,0.0,0.0,1.0,0.0
7957 VALLEY GREEN DR,95823,CA,SACRAMENTO,3,2,1185,2008-05-21T00:00:00Z,178480.0,38.465184,-121.434925,178480.0,178480.0,0.2003183736225416,-0.4097930493369816,0.20353830298866368,-0.15431694859517575,2,4,0.0,0.0,1.0,0.0
1122 WILD POPPY CT,95632,CA,GALT,3,2,1406,2008-05-21T00:00:00Z,178760.0,38.287789,-121.294715,178760.0,178760.0,0.2006353886094251,-0.4077222927822184,0.2414977670903469,0.10458285927629296,2,4,0.0,0.0,1.0,0.0
4520 BOMARK WAY,95842,CA,SACRAMENTO,4,2,1943,2008-05-21T00:00:00Z,179580.0,38.665724,-121.358576,179580.0,179580.0,0.20156378964244107,-0.4016579343004121,0.3337341119890072,0.7336742476336626,2,4,0.0,1.0,0.0,0.0
9012 KIEFER BLVD,95826,CA,SACRAMENTO,3,2,1172,2008-05-21T00:00:00Z,181000.0,38.547011,-121.366217,181000.0,181000.0,0.20317150850449311,-0.3911562403441132,0.2013053933356235,-0.16954634905820332,2,4,0.0,0.0,1.0,0.0
5332 SANDSTONE ST,95608,CA,CARMICHAEL,3,1,1152,2008-05-21T00:00:00Z,181872.0,38.662105,-121.313945,181872.0,181872.0,0.2041587837493589,-0.3847073127878509,0.19787014771556166,-0.1929761959243996,2,4,0.0,0.0,1.0,0.0
5993 SAWYER CIR,95823,CA,SACRAMENTO,4,3,1851,2008-05-21T00:00:00Z,182587.0,38.4473,-121.435218,182587.0,182587.0,0.2049683041622936,-0.3794194880140807,0.3179319821367228,0.6258969520491597,2,4,0.0,0.0,1.0,0.0
4844 CLYDEBANK WAY,95843,CA,ANTELOPE,3,2,1215,2008-05-21T00:00:00Z,182716.0,38.714609,-121.347887,182716.0,182716.0,0.2051143574955363,-0.3784654608870648,0.20869117141875645,-0.11917217829588135,2,4,0.0,0.0,1.0,0.0
306 CAMELLIA WAY,95632,CA,GALT,3,2,1130,2008-05-21T00:00:00Z,182750.0,38.260443,-121.297864,182750.0,182750.0,0.20515285217251505,-0.3782140118768436,0.19409137753349365,-0.21874902747721547,2,4,0.0,0.0,1.0,0.0
9021 MADISON AVE,95662,CA,ORANGEVALE,4,2,1603,2008-05-21T00:00:00Z,183200.0,38.664186,-121.21751100000002,183200.0,183200.0,0.20566234054429208,-0.3748860102709742,0.27533493644795604,0.3353668509083261,2,5,0.0,0.0,1.0,0.0
404 6TH ST,95632,CA,GALT,3,1,1479,2008-05-21T00:00:00Z,188741.0,38.251808,-121.302493,188741.0,188741.0,0.2119358406954403,-0.3339072171640362,0.25403641360357265,0.1901018003379093,2,5,0.0,0.0,1.0,0.0
8317 SUNNY CREEK WAY,95823,CA,SACRAMENTO,3,2,1420,2008-05-21T00:00:00Z,189000.0,38.459041,-121.424644,189000.0,189000.0,0.21222907955830755,-0.3319917673508803,0.24390243902439024,0.12098375208263032,2,5,0.0,0.0,1.0,0.0
2617 BASS CT,95826,CA,SACRAMENTO,3,2,1280,2008-05-21T00:00:00Z,,38.560767,-121.377471,184649.42857142846,178047.5,0.20730337832843496,-0.3641666755747361,0.2198557196839574,-0.04302517598074351,2,5,0.0,0.0,1.0,0.0
7005 TIANT WAY,95758,CA,ELK GROVE,3,2,1586,2008-05-21T00:00:00Z,194000.0,38.422811,-121.423285,194000.0,194000.0,0.2178900614669416,-0.2950139717301097,0.27241497767090345,0.3154514810720593,2,5,0.0,0.0,1.0,0.0
7895 CABER WAY,95843,CA,ANTELOPE,3,2,1362,2008-05-21T00:00:00Z,194818.0,38.711279,-121.393449,194818.0,194818.0,0.21881619810719408,-0.2889644043665517,0.2339402267262109,0.05303719617066117,2,5,0.0,0.0,1.0,0.0
7624 BOGEY CT,95828,CA,SACRAMENTO,4,4,2162,2008-05-21T00:00:00Z,195000.0,38.48009,-121.415102,195000.0,195000.0,0.2190222578486684,-0.2876184126059556,0.3713500515286843,0.9902310708185116,2,5,0.0,1.0,0.0,0.0
6930 HAMPTON COVE WAY,95823,CA,SACRAMENTO,3,2,1266,2008-05-21T00:00:00Z,,38.44004,-121.421012,175721.1379310345,170500.0,0.1971947999703755,-0.4301963768834022,0.2174510477499141,-0.059426068787080885,1,4,0.0,0.0,1.0,0.0
