street,city,state,zip,beds,baths,sq__ft,type,sale_date,price,latitude,longitude
3526 HIGH ST,SACRAMENTO,CA,95838,2,1,836,Residential,2008-05-21T00:00:00Z,59222,38.631913,-121.434879
51 OMAHA CT,SACRAMENTO,CA,95823,3,1,1167,Residential,2008-05-21T00:00:00Z,68212,38.478902,-121.431028
2796 BRANCH ST,SACRAMENTO,CA,95815,2,1,796,Residential,2008-05-21T00:00:00Z,68880,38.618305,-121.443839
2805 JANETTE WAY,SACRAMENTO,CA,95815,2,1,852,Residential,2008-05-21T00:00:00Z,69307,38.616835,-121.439146
2805 JANETTE WAY,SACRAMENTO,CA,95815,2,1,852,Residential,2008-05-21T00:00:00Z,69307,38.616835,-121.439146
6001 MCMAHON DR,SACRAMENTO,CA,95824,2,1,797,Residential,2008-05-21T00:00:00Z,81900,38.51947,-121.435768
5828 PEPPERMILL CT,SACRAMENTO,CA,95841,3,1,1122,Condo,2008-05-21T00:00:00Z,89921,38.662595,-121.327813
6048 OGDEN NASH WAY,SACRAMENTO,CA,95842,3,2,1104,Residential,2008-05-21T00:00:00Z,90895,38.681659,-121.351705
2561 19TH AVE,SACRAMENTO,CA,95820,3,1,1177,Residential,2008-05-21T00:00:00Z,91002,38.535092,-121.481367
11150 TRINITY RIVER DR Unit 114,RANCHO CORDOVA,CA,95670,2,2,941,Condo,2008-05-21T00:00:00Z,94905,38.621188,-121.270555
7325 10TH ST,RIO LINDA,CA,95673,3,2,1146,Residential,2008-05-21T00:00:00Z,98937,38.700909,-121.442979
645 MORRISON AVE,SACRAMENTO,CA,95838,3,2,909,Residential,2008-05-21T00:00:00Z,100309,38.637663,-121.45152
4085 FAWN CIR,SACRAMENTO,CA,95823,3,2,1289,Residential,2008-05-21T00:00:00Z,106250,38.470746,-121.458918
2930 LA ROSA RD,SACRAMENTO,CA,95815,1,1,871,Residential,2008-05-21T00:00:00Z,106852,38.618698,-121.435833
2930 LA ROSA RD,SACRAMENTO,CA,95815,1,1,871,Residential,2008-05-21T00:00:00Z,106852,38.618698,-121.435833
2113 KIRK WAY,SACRAMENTO,CA,95822,3,1,1020,Residential,2008-05-21T00:00:00Z,107502,38.482215,-121.492603
4533 LOCH HAVEN WAY,SACRAMENTO,CA,95842,2,2,1022,Residential,2008-05-21T00:00:00Z,108750,38.672914,-121.35934
7340 HAMDEN PL,SACRAMENTO,CA,95842,2,2,1134,Condo,2008-05-21T00:00:00Z,,38.700051,-121.351278
6715 6TH ST,RIO LINDA,CA,95673,2,1,844,Residential,2008-05-21T00:00:00Z,113263,38.689591,-121.452239
6236 LONGFORD DR Unit 1,CITRUS HEIGHTS,CA,95621,2,1,795,Condo,2008-05-21T00:00:00Z,,38.679776,-121.314089
250 PERALTA AVE,SACRAMENTO,CA,95833,2,1,588,Residential,2008-05-21T00:00:00Z,120000,38.612099,-121.469095
113 LEEWILL AVE,RIO LINDA,CA,95673,3,2,1356,Residential,2008-05-21T00:00:00Z,121630,38.689999,-121.46322
6118 STONEHAND AVE,CITRUS HEIGHTS,CA,95621,3,2,1118,Residential,2008-05-21T00:00:00Z,,38.707851,-121.320707
4882 BANDALIN WAY,SACRAMENTO,CA,95823,4,2,1329,Residential,2008-05-21T00:00:00Z,122682,38.468173,-121.444071
7511 OAKVALE CT,NORTH HIGHLANDS,CA,95660,4,2,1240,Residential,2008-05-21T00:00:00Z,123000,38.702792,-121.38221
7511 OAKVALE CT,NORTH HIGHLANDS,CA,95660,4,2,1240,Residential,2008-05-21T00:00:00Z,123000,38.702792,-121.38221
9 PASTURE CT,SACRAMENTO,CA,95834,3,2,1601,Residential,2008-05-21T00:00:00Z,124100,38.628631,-121.488097
9 PASTURE CT,SACRAMENTO,CA,95834,3,2,1601,Residential,2008-05-21T00:00:00Z,124100,38.628631,-121.488097
3729 BAINBRIDGE DR,NORTH HIGHLANDS,CA,95660,3,2,901,Residential,2008-05-21T00:00:00Z,125000,38.701499,-121.37622
3828 BLACKFOOT WAY,ANTELOPE,CA,95843,3,2,1088,Residential,2008-05-21T00:00:00Z,126640,38.70974,-121.37377
4108 NORTON WAY,SACRAMENTO,CA,95820,3,1,963,Residential,2008-05-21T00:00:00Z,127281,38.537526,-121.478315
4108 NORTON WAY,SACRAMENTO,CA,95820,3,1,963,Residential,2008-05-21T00:00:00Z,127281,38.537526,-121.478315
1469 JANRICK AVE,SACRAMENTO,CA,95832,3,2,1119,Residential,2008-05-21T00:00:00Z,129000,38.476472,-121.501711
9861 CULP WAY,SACRAMENTO,CA,95827,4,2,1380,Residential,2008-05-21T00:00:00Z,131200,38.558423,-121.327948
7825 CREEK VALLEY CIR,SACRAMENTO,CA,95828,3,2,1248,Residential,2008-05-21T00:00:00Z,132000,38.472122,-121.404199
7825 CREEK VALLEY CIR,SACRAMENTO,CA,95828,3,2,1248,Residential,2008-05-21T00:00:00Z,132000,38.472122,-121.404199
5201 LAGUNA OAKS DR Unit 140,ELK GROVE,CA,95758,2,2,1039,Condo,2008-05-21T00:00:00Z,133000,38.423251,-121.444489
5201 LAGUNA OAKS DR Unit 140,ELK GROVE,CA,95758,2,2,1039,Condo,2008-05-21T00:00:00Z,133000,38.423251,-121.444489
6768 MEDORA DR,NORTH HIGHLANDS,CA,95660,3,2,1152,Residential,2008-05-21T00:00:00Z,134555,38.691161,-121.37192
3100 EXPLORER DR,SACRAMENTO,CA,95827,3,2,1380,Residential,2008-05-21T00:00:00Z,136500,38.566663,-121.332644
3100 EXPLORER DR,SACRAMENTO,CA,95827,3,2,1380,Residential,2008-05-21T00:00:00Z,136500,38.566663,-121.332644
7944 DOMINION WAY,ELVERTA,CA,95626,3,2,1116,Residential,2008-05-21T00:00:00Z,138750,38.713182,-121.411227
5201 LAGUNA OAKS DR Unit 162,ELK GROVE,CA,95758,2,2,1039,Condo,2008-05-21T00:00:00Z,141000,38.423251,-121.444489
3920 SHINING STAR DR,SACRAMENTO,CA,95823,3,2,1418,Residential,2008-05-21T00:00:00Z,146250,38.48742,-121.462459
5031 CORVAIR ST,NORTH HIGHLANDS,CA,95660,3,2,1082,Residential,2008-05-21T00:00:00Z,,38.658246,-121.375469
7661 NIXOS WAY,SACRAMENTO,CA,95823,4,2,1472,Residential,2008-05-21T00:00:00Z,148750,38.479553,-121.463317
7044 CARTHY WAY,SACRAMENTO,CA,95828,4,2,1146,Residential,2008-05-21T00:00:00Z,,38.49857,-121.420925
2442 LARKSPUR LN,SACRAMENTO,CA,95825,1,1,760,Condo,2008-05-21T00:00:00Z,150000,38.58514,-121.403736
2442 LARKSPUR LN,SACRAMENTO,CA,95825,1,1,760,Condo,2008-05-21T00:00:00Z,150000,38.58514,-121.403736
4800 WESTLAKE PKWY Unit 2109,SACRAMENTO,CA,95835,2,2,1304,Condo,2008-05-21T00:00:00Z,152000,38.658812,-121.542345
2178 63RD AVE,SACRAMENTO,CA,95822,3,2,1207,Residential,2008-05-21T00:00:00Z,154000,38.493955,-121.48966
8718 ELK WAY,ELK GROVE,CA,95624,3,2,1056,Residential,2008-05-21T00:00:00Z,156896,38.41653,-121.379653
5708 RIDGEPOINT DR,ANTELOPE,CA,95843,2,2,1043,Residential,2008-05-21T00:00:00Z,161250,38.72027,-121.331555
7315 KOALA CT,NORTH HIGHLANDS,CA,95660,4,2,1587,Residential,2008-05-21T00:00:00Z,161500,38.699251,-121.371414
7315 KOALA CT,NORTH HIGHLANDS,CA,95660,4,2,1587,Residential,2008-05-21T00:00:00Z,161500,38.699251,-121.371414
2622 ERIN DR,SACRAMENTO,CA,95833,4,1,1120,Residential,2008-05-21T00:00:00Z,,38.613765,-121.488694
8421 SUNBLAZE WAY,SACRAMENTO,CA,95823,4,2,1580,Residential,2008-05-21T00:00:00Z,165000,38.450543,-121.432538
7420 ALIX PKWY,SACRAMENTO,CA,95823,4,1,1955,Residential,2008-05-21T00:00:00Z,166357,38.489405,-121.452811
3820 NATOMA WAY,SACRAMENTO,CA,95838,4,2,1656,Residential,2008-05-21T00:00:00Z,166357,38.636748,-121.422159
4431 GREEN TREE DR,SACRAMENTO,CA,95823,3,2,1477,Residential,2008-05-21T00:00:00Z,168000,38.499954,-121.454469
9417 SARA ST,ELK GROVE,CA,95624,3,2,1188,Residential,2008-05-21T00:00:00Z,,38.415518,-121.370527
8299 HALBRITE WAY,SACRAMENTO,CA,95828,4,2,1590,Residential,2008-05-21T00:00:00Z,173000,38.473814,-121.4
7223 KALLIE KAY LN,SACRAMENTO,CA,95823,3,2,1463,Residential,2008-05-21T00:00:00Z,174250,38.477553,-121.419463
8156 STEINBECK WAY,SACRAMENTO,CA,95828,4,2,1714,Residential,2008-05-21T00:00:00Z,174313,38.474853,-121.406326
8156 STEINBECK WAY,SACRAMENTO,CA,95828,4,2,1714,Residential,2008-05-21T00:00:00Z,174313,38.474853,-121.406326
7957 VALLEY GREEN DR,SACRAMENTO,CA,95823,3,2,1185,Residential,2008-05-21T00:00:00Z,178480,38.465184,-121.434925
1122 WILD POPPY CT,GALT,CA,95632,3,2,1406,Residential,2008-05-21T00:00:00Z,178760,38.287789,-121.294715
4520 BOMARK WAY,SACRAMENTO,CA,95842,4,2,1943,Multi-Family,2008-05-21T00:00:00Z,179580,38.665724,-121.358576
9012 KIEFER BLVD,SACRAMENTO,CA,95826,3,2,1172,Residential,2008-05-21T00:00:00Z,181000,38.547011,-121.366217
5332 SANDSTONE ST,CARMICHAEL,CA,95608,3,1,1152,Residential,2008-05-21T00:00:00Z,181872,38.662105,-121.313945
5993 SAWYER CIR,SACRAMENTO,CA,95823,4,3,1851,Residential,2008-05-21T00:00:00Z,182587,38.4473,-121.435218
4844 CLYDEBANK WAY,ANTELOPE,CA,95843,3,2,1215,Residential,2008-05-21T00:00:00Z,182716,38.714609,-121.347887
4844 CLYDEBANK WAY,ANTELOPE,CA,95843,3,2,1215,Residential,2008-05-21T00:00:00Z,182716,38.714609,-121.347887
306 CAMELLIA WAY,GALT,CA,95632,3,2,1130,Residential,2008-05-21T00:00:00Z,182750,38.260443,-121.297864
9021 MADISON AVE,ORANGEVALE,CA,95662,4,2,1603,Residential,2008-05-21T00:00:00Z,183200,38.664186,-121.217511
404 6TH ST,GALT,CA,95632,3,1,1479,Residential,2008-05-21T00:00:00Z,188741,38.251808,-121.302493
8317 SUNNY CREEK WAY,SACRAMENTO,CA,95823,3,2,1420,Residential,2008-05-21T00:00:00Z,189000,38.459041,-121.424644
8317 SUNNY CREEK WAY,SACRAMENTO,CA,95823,3,2,1420,Residential,2008-05-21T00:00:00Z,189000,38.459041,-121.424644
2617 BASS CT,SACRAMENTO,CA,95826,3,2,1280,Residential,2008-05-21T00:00:00Z,,38.560767,-121.377471
2617 BASS CT,SACRAMENTO,CA,95826,3,2,1280,Residential,2008-05-21T00:00:00Z,,38.560767,-121.377471
7005 TIANT WAY,ELK GROVE,CA,95758,3,2,1586,Residential,2008-05-21T00:00:00Z,194000,38.422811,-121.423285
7895 CABER WAY,ANTELOPE,CA,95843,3,2,1362,Residential,2008-05-21T00:00:00Z,194818,38.711279,-121.393449
7624 BOGEY CT,SACRAMENTO,CA,95828,4,4,2162,Multi-Family,2008-05-21T00:00:00Z,195000,38.48009,-121.415102
6930 HAMPTON COVE WAY,SACRAMENTO,CA,95823,3,2,1266,Residential,2008-05-21T00:00:00Z,,38.44004,-121.421012
6930 HAMPTON COVE WAY,SACRAMENTO,CA,95823,3,2,1266,Residential,2008-05-21T00:00:00Z,,38.44004,-121.421012
8708 MESA BROOK WAY,ELK GROVE,CA,95624,4,2,1715,Residential,2008-05-21T00:00:00Z,199500,38.44076,-121.385792
120 GRANT LN,FOLSOM,CA,95630,3,2,1820,Residential,2008-05-21T00:00:00Z,200000,38.687742,-121.17104
5907 ELLERSLEE DR,CARMICHAEL,CA,95608,3,1,936,Residential,2008-05-21T00:00:00Z,200000,38.664468,-121.32683
5907 ELLERSLEE DR,CARMICHAEL,CA,95608,3,1,936,Residential,2008-05-21T00:00:00Z,200000,38.664468,-121.32683
17 SERASPI CT,SACRAMENTO,CA,95834,0,0,0,Residential,2008-05-21T00:00:00Z,206000,38.631481,-121.50188
170 PENHOW CIR,SACRAMENTO,CA,95834,3,2,1511,Residential,2008-05-21T00:00:00Z,208000,38.653439,-121.535169
8345 STAR THISTLE WAY,SACRAMENTO,CA,95823,4,2,1590,Residential,2008-05-21T00:00:00Z,212864,38.454349,-121.439239
9080 FRESCA WAY,ELK GROVE,CA,95758,4,2,1596,Residential,2008-05-21T00:00:00Z,221000,38.427818,-121.424026
391 NATALINO CIR,SACRAMENTO,CA,95835,2,2,1341,Residential,2008-05-21T00:00:00Z,221000,38.67307,-121.506373
8373 BLACKMAN WAY,ELK GROVE,CA,95624,5,3,2136,Residential,2008-05-21T00:00:00Z,223058,38.435436,-121.394536
