street,zip,state,city,beds,baths,sq__ft,type,sale_date,price,latitude,longitude,price_mean,price_median
3526 HIGH ST,95838,CA,SACRAMENTO,2,1,836,Residential,2008-05-21T00:00:00Z,59222.0,38.631913,-121.43487900000001,59222.0,59222.0
51 OMAHA CT,95823,CA,SACRAMENTO,3,1,1167,Residential,2008-05-21T00:00:00Z,68212.0,38.478902000000005,-121.431028,68212.0,68212.0
2796 BRANCH ST,95815,CA,SACRAMENTO,2,1,796,Residential,2008-05-21T00:00:00Z,68880.0,38.618305,-121.44383899999998,68880.0,68880.0
2805 JANETTE WAY,95815,CA,SACRAMENTO,2,1,852,Residential,2008-05-21T00:00:00Z,69307.0,38.616834999999995,-121.439146,69307.0,69307.0
6001 MCMAHON DR,95824,CA,SACRAMENTO,2,1,797,Residential,2008-05-21T00:00:00Z,81900.0,38.51947,-121.435768,81900.0,81900.0
5828 PEPPERMILL CT,95841,CA,SACRAMENTO,3,1,1122,Condo,2008-05-21T00:00:00Z,89921.0,38.662595,-121.32781299999999,89921.0,89921.0
6048 OGDEN NASH WAY,95842,CA,SACRAMENTO,3,2,1104,Residential,2008-05-21T00:00:00Z,90895.0,38.681659,-121.35170500000001,90895.0,90895.0
2561 19TH AVE,95820,CA,SACRAMENTO,3,1,1177,Residential,2008-05-21T00:00:00Z,91002.0,38.535092,-121.48136699999999,91002.0,91002.0
11150 TRINITY RIVER DR Unit 114,95670,CA,RANCHO CORDOVA,2,2,941,Condo,2008-05-21T00:00:00Z,94905.0,38.621188000000004,-121.270555,94905.0,94905.0
7325 10TH ST,95673,CA,RIO LINDA,3,2,1146,Residential,2008-05-21T00:00:00Z,98937.0,38.700909,-121.44297900000001,98937.0,98937.0
645 MORRISON AVE,95838,CA,SACRAMENTO,3,2,909,Residential,2008-05-21T00:00:00Z,100309.0,38.637663,-121.45152,100309.0,100309.0
4085 FAWN CIR,95823,CA,SACRAMENTO,3,2,1289,Residential,2008-05-21T00:00:00Z,106250.0,38.470746000000005,-121.458918,106250.0,106250.0
2930 LA ROSA RD,95815,CA,SACRAMENTO,1,1,871,Residential,2008-05-21T00:00:00Z,106852.0,38.618697999999995,-121.435833,106852.0,106852.0
2113 KIRK WAY,95822,CA,SACRAMENTO,3,1,1020,Residential,2008-05-21T00:00:00Z,107502.0,38.482215000000004,-121.492603,107502.0,107502.0
4533 LOCH HAVEN WAY,95842,CA,SACRAMENTO,2,2,1022,Residential,2008-05-21T00:00:00Z,108750.0,38.672914,-121.35933999999999,108750.0,108750.0
7340 HAMDEN PL,95842,CA,SACRAMENTO,2,2,1134,Condo,2008-05-21T00:00:00Z,,38.700051,-121.35127800000001,145874.95,156394.0
6715 6TH ST,95673,CA,RIO LINDA,2,1,844,Residential,2008-05-21T00:00:00Z,113263.0,38.689591,-121.45223899999999,113263.0,113263.0
6236 LONGFORD DR Unit 1,95621,CA,CITRUS HEIGHTS,2,1,795,Condo,2008-05-21T00:00:00Z,,38.679776000000004,-121.314089,179974.0,183918.0
250 PERALTA AVE,95833,CA,SACRAMENTO,2,1,588,Residential,2008-05-21T00:00:00Z,120000.0,38.612099,-121.469095,120000.0,120000.0
113 LEEWILL AVE,95673,CA,RIO LINDA,3,2,1356,Residential,2008-05-21T00:00:00Z,121630.0,38.689999,-121.46321999999999,121630.0,121630.0
6118 STONEHAND AVE,95621,CA,CITRUS HEIGHTS,3,2,1118,Residential,2008-05-21T00:00:00Z,,38.707851,-121.32070700000001,179974.0,183918.0
4882 BANDALIN WAY,95823,CA,SACRAMENTO,4,2,1329,Residential,2008-05-21T00:00:00Z,122682.0,38.468173,-121.444071,122682.0,122682.0
7511 OAKVALE CT,95660,CA,NORTH HIGHLANDS,4,2,1240,Residential,2008-05-21T00:00:00Z,123000.0,38.702791999999995,-121.38221000000001,123000.0,123000.0
9 PASTURE CT,95834,CA,SACRAMENTO,3,2,1601,Residential,2008-05-21T00:00:00Z,124100.0,38.628631,-121.488097,124100.0,124100.0
3729 BAINBRIDGE DR,95660,CA,NORTH HIGHLANDS,3,2,901,Residential,2008-05-21T00:00:00Z,125000.0,38.701499,-121.37621999999999,125000.0,125000.0
3828 BLACKFOOT WAY,95843,CA,ANTELOPE,3,2,1088,Residential,2008-05-21T00:00:00Z,126640.0,38.709740000000004,-121.37377,126640.0,126640.0
4108 NORTON WAY,95820,CA,SACRAMENTO,3,1,963,Residential,2008-05-21T00:00:00Z,127281.0,38.537526,-121.478315,127281.0,127281.0
1469 JANRICK AVE,95832,CA,SACRAMENTO,3,2,1119,Residential,2008-05-21T00:00:00Z,129000.0,38.476471999999994,-121.50171100000001,129000.0,129000.0
