street,zip,state,city,beds,baths,sq__ft,type,sale_date,price,latitude,longitude,price_mean,price_median,n_price_mean,s_price_mean,n_sq__ft,s_sq__ft
3526 HIGH ST,95838,CA,SACRAMENTO,2,1,836,Residential,2008-05-21T00:00:00Z,59222.0,38.631913,-121.434879,59222.0,59222.0,0.06529489753056647,-1.291772639365353,0.14359326691858468,-0.5631677764103005
51 OMAHA CT,95823,CA,SACRAMENTO,3,1,1167,Residential,2008-05-21T00:00:00Z,68212.0,38.47890200000001,-121.431028,68212.0,68212.0,0.07547334300229043,-1.2252865628392073,0.20044658193060805,-0.1754038107747524
2796 BRANCH ST,95815,CA,SACRAMENTO,2,1,796,Residential,2008-05-21T00:00:00Z,68880.0,38.618305,-121.44383899999998,68880.0,68880.0,0.07622965018528394,-1.2203463293442725,0.136722775678461,-0.6100274701426931
2805 JANETTE WAY,95815,CA,SACRAMENTO,2,1,852,Residential,2008-05-21T00:00:00Z,69307.0,38.616835,-121.439146,69307.0,69307.0,0.07671309804028129,-1.2171884255982588,0.14634146341463414,-0.5444238989173436
6001 MCMAHON DR,95824,CA,SACRAMENTO,2,1,797,Residential,2008-05-21T00:00:00Z,81900.0,38.51947,-121.435768,81900.0,81900.0,0.09097084707536691,-1.1240561495477859,0.1368945379594641,-0.6088559777993833
5828 PEPPERMILL CT,95841,CA,SACRAMENTO,3,1,1122,Condo,2008-05-21T00:00:00Z,89921.0,38.662595,-121.327813,89921.0,89921.0,0.1000521942531976,-1.0647363698129457,0.19271727928546892,-0.228120966223694
6048 OGDEN NASH WAY,95842,CA,SACRAMENTO,3,2,1104,Residential,2008-05-21T00:00:00Z,90895.0,38.681659,-121.351705,90895.0,90895.0,0.10115495352899952,-1.0575330952260196,0.18962555822741325,-0.2492078284032706
2561 19TH AVE,95820,CA,SACRAMENTO,3,1,1177,Residential,2008-05-21T00:00:00Z,91002.0,38.535092,-121.481367,91002.0,91002.0,0.10127609854184429,-1.0567417703997353,0.20216420474063895,-0.16368888734165427
11150 TRINITY RIVER DR Unit 114,95670,CA,RANCHO CORDOVA,2,2,941,Condo,2008-05-21T00:00:00Z,94905.0,38.621188,-121.270555,94905.0,94905.0,0.105695061019724,-1.0278769031381616,0.1616283064239093,-0.44016108036277013
7325 10TH ST,95673,CA,RIO LINDA,3,2,1146,Residential,2008-05-21T00:00:00Z,98937.0,38.700909,-121.442979,98937.0,98937.0,0.11026007683084646,-0.9980580087495723,0.1968395740295431,-0.20000514998425847
