choice,available
DL001.4.V,AA777.1.C; AA777.2.Z; AA777.3.Y; AA777.4.V; AS666.1.C; AS666.3.Y; AS666.4.V; DL001.1.C; DL001.2.Z; DL001.3.Y; DL001.4.V; UA110.1.C; UA110.3.Y; UA110.4.V
AS666.4.V,AA777.2.Z; AA777.3.Y; AA777.4.V; AS666.1.C; AS666.2.Z; AS666.3.Y; AS666.4.V; DL001.1.C; DL001.3.Y; UA110.1.C; UA110.2.Z
UA110.4.V,AA777.1.C; AA777.2.Z; AA777.4.V; AS666.1.C; AS666.2.Z; AS666.4.V; DL001.1.C; DL001.2.Z; DL001.3.Y; DL001.4.V; UA110.2.Z; UA110.3.Y; UA110.4.V
AA777.4.V,AA777.1.C; AA777.2.Z; AA777.4.V; AS666.3.Y; AS666.4.V; DL001.1.C; DL001.3.Y; UA110.1.C; UA110.2.Z; UA110.3.Y; UA110.4.V
AA777.4.V,AA777.2.Z; AA777.4.V; AS666.1.C; AS666.2.Z; AS666.3.Y; AS666.4.V; DL001.1.C; DL001.2.Z; DL001.3.Y; DL001.4.V; UA110.2.Z; UA110.3.Y; UA110.4.V
DL001.4.V,AA777.1.C; AA777.3.Y; AA777.4.V; AS666.1.C; AS666.2.Z; AS666.3.Y; AS666.4.V; DL001.1.C; DL001.2.Z; DL001.4.V; UA110.2.Z; UA110.3.Y; UA110.4.V
DL001.2.Z,AA777.1.C; AA777.2.Z; AA777.3.Y; AA777.4.V; AS666.1.C; AS666.2.Z; AS666.3.Y; DL001.1.C; DL001.2.Z; DL001.3.Y; DL001.4.V; UA110.1.C; UA110.2.Z; UA110.3.Y; UA110.4.V
UA110.4.V,AA777.1.C; AA777.2.Z; AA777.3.Y; AA777.4.V; AS666.1.C; AS666.2.Z; AS666.3.Y; AS666.4.V; DL001.1.C; DL001.2.Z; DL001.3.Y; DL001.4.V; UA110.1.C; UA110.2.Z; UA110.3.Y; UA110.4.V
AS666.3.Y,AA777.1.C; AA777.2.Z; AA777.3.Y; AA777.4.V; AS666.2.Z; AS666.3.Y; AS666.4.V; DL001.1.C; DL001.4.V; UA110.1.C; UA110.3.Y
AA777.4.V,AA777.1.C; AA777.2.Z; AA777.3.Y; AA777.4.V; AS666.1.C; AS666.2.Z; AS666.3.Y; AS666.4.V; DL001.1.C; DL001.2.Z; DL001.3.Y; DL001.4.V; UA110.1.C; UA110.2.Z; UA110.3.Y; UA110.4.V
AA777.1.C,AA777.1.C; AA777.2.Z; AA777.4.V; AS666.2.Z; AS666.3.Y; DL001.1.C; DL001.2.Z; DL001.4.V; UA110.1.C; UA110.2.Z; UA110.3.Y; UA110.4.V
AS666.4.V,AA777.1.C; AA777.2.Z; AA777.3.Y; AS666.1.C; AS666.2.Z; AS666.3.Y; AS666.4.V; DL001.3.Y; DL001.4.V; UA110.1.C; UA110.2.Z; UA110.3.Y
AS666.4.V,AA777.1.C; AA777.2.Z; AA777.3.Y; AS666.1.C; AS666.2.Z; AS666.3.Y; AS666.4.V; DL001.1.C; DL001.2.Z; DL001.3.Y; DL001.4.V; UA110.1.C; UA110.2.Z; UA110.3.Y; UA110.4.V
