,count,mean,std,min,25%,50%,75%,max,skew,mode,kurtosis
zip,1175.0,95750.52085106383,85.49311437623885,95603.0,95660.0,95762.0,95828.0,95864.0,-0.3924616877403614,95648.0,-1.523314367482886
beds,1175.0,2.90468085106383,1.2984475907512505,0.0,2.0,3.0,4.0,8.0,-0.7978331150542413,3.0,0.6457247072333063
baths,1175.0,1.7727659574468084,0.889235507386269,0.0,1.0,2.0,2.0,5.0,-0.24556540434227098,2.0,0.34195241891901046
sq__ft,1175.0,1305.4110638297873,846.0474000399056,0.0,954.0,1291.0,1704.0,5822.0,0.5326152490989633,0.0,1.2893113801469935
price,1175.0,231541.79269493275,135387.33020146893,1551.0,145423.0,212000.0,299470.0,884790.0,1.1336811599396948,4897.0,2.4850816454254345
latitude,1175.0,38.608158080851155,0.1451909496112379,38.241514,38.4827965,38.625289,38.695739,39.020808,0.07601186434309529,38.423251,-0.3979861442954524
longitude,1175.0,-121.35601571234042,0.13691949899181985,-121.551704,-121.444977,-121.37633400000001,-121.296101,-120.597599,1.8175559301185824,-121.44448899999999,5.062539123568602
s_price,1175.0,6.260624406602322e-16,1.0000000000000004,-1.6987615632325794,-0.6360919634561076,-0.14433989255754398,0.5017323792705253,4.825032049402061,1.1336811599397374,-1.6740472860914255,2.4850816454252733
n_price,1175.0,0.2603947433196821,0.15328504538575533,0.0,0.16289135783179864,0.23826959633802405,0.33730281384766747,1.0,1.133681159939727,0.0037883290932578854,2.4850816454252462
s_sq__ft,1175.0,-5.89953617872623e-17,0.9999999999999997,-1.5429526333491657,-0.41535623632105273,-0.017033400054308485,0.47111891857526245,5.33845850239263,0.532615249098964,-1.5429526333491657,1.2893113801472835
n_sq__ft,1175.0,0.22422038197007657,0.14531903126758947,0.0,0.1638612160769495,0.2217451047749914,0.29268292682926833,1.0,0.5326152490989192,0.0,1.2893113801473437
b_price,1175.0,1.817872340425532,0.7858548665326424,1.0,1.0,2.0,2.0,6.0,1.0711070092396684,2.0,2.07066515525684
p_price,1175.0,5.506382978723404,2.877348256256971,1.0,3.0,6.0,8.0,11.0,0.002319276949181792,8.0,-1.221401935635493
d_Condo,1175.0,0.05872340425531915,0.23520639583688177,0.0,0.0,0.0,0.0,1.0,3.7586476671646483,0.0,12.148107045164258
d_Multi-Family,1175.0,0.011914893617021277,0.10854932968750129,0.0,0.0,0.0,0.0,1.0,9.008204978517588,0.0,79.28270351351163
d_Residential,1175.0,0.9285106382978724,0.2577502152059044,0.0,1.0,1.0,1.0,1.0,-3.3306762625139457,1.0,9.10890600930951
d_Unkown,1175.0,0.000851063829787234,0.02917299829957892,0.0,0.0,0.0,0.0,1.0,34.27827300200523,0.0,1174.9999999999998
