index,street,city,zip,state,beds,baths,sq__ft,type,sale_date,price,latitude,longitude,train
0,3526 HIGH ST,SACRAMENTO,95838,CA,2,1,836,Residential,2008-05-21,59222,38.631913,-121.434879,True
1,51 OMAHA CT,SACRAMENTO,95823,CA,3,1,1167,Residential,2008-05-21,68212,38.478902,-121.431028,True
3,2805 JANETTE WAY,SACRAMENTO,95815,CA,2,1,852,Residential,2008-05-21,69307,38.616835,-121.439146,True
4,6001 MCMAHON DR,SACRAMENTO,95824,CA,2,1,797,Residential,2008-05-21,81900,38.51947,-121.435768,True
5,5828 PEPPERMILL CT,SACRAMENTO,95841,CA,3,1,1122,Condo,2008-05-21,89921,38.662595,-121.327813,True
6,6048 OGDEN NASH WAY,SACRAMENTO,95842,CA,3,2,1104,Residential,2008-05-21,90895,38.681659,-121.351705,True
7,2561 19TH AVE,SACRAMENTO,95820,CA,3,1,1177,Residential,2008-05-21,91002,38.535092,-121.481367,True
11,4085 FAWN CIR,SACRAMENTO,95823,CA,3,2,1289,Residential,2008-05-21,106250,38.470746,-121.458918,True
12,2930 LA ROSA RD,SACRAMENTO,95815,CA,1,1,871,Residential,2008-05-21,106852,38.618698,-121.435833,True
13,2113 KIRK WAY,SACRAMENTO,95822,CA,3,1,1020,Residential,2008-05-21,107502,38.482215,-121.492603,True
14,4533 LOCH HAVEN WAY,SACRAMENTO,95842,CA,2,2,1022,Residential,2008-05-21,108750,38.672914,-121.35934,True
15,7340 HAMDEN PL,SACRAMENTO,95842,CA,2,2,1134,Condo,2008-05-21,110700,38.700051,-121.351278,True
16,6715 6TH ST,RIO LINDA,95673,CA,2,1,844,Residential,2008-05-21,113263,38.689591,-121.452239,True
17,6236 LONGFORD DR Unit 1,CITRUS HEIGHTS,95621,CA,2,1,795,Condo,2008-05-21,116250,38.679776,-121.314089,True
19,113 LEEWILL AVE,RIO LINDA,95673,CA,3,2,1356,Residential,2008-05-21,121630,38.689999,-121.46322,True
20,6118 STONEHAND AVE,CITRUS HEIGHTS,95621,CA,3,2,1118,Residential,2008-05-21,122000,38.707851,-121.320707,True
21,4882 BANDALIN WAY,SACRAMENTO,95823,CA,4,2,1329,Residential,2008-05-21,122682,38.468173,-121.444071,True
22,7511 OAKVALE CT,NORTH HIGHLANDS,95660,CA,4,2,1240,Residential,2008-05-21,123000,38.702792,-121.38221,True
23,9 PASTURE CT,SACRAMENTO,95834,CA,3,2,1601,Residential,2008-05-21,124100,38.628631,-121.488097,True
24,3729 BAINBRIDGE DR,NORTH HIGHLANDS,95660,CA,3,2,901,Residential,2008-05-21,125000,38.701499,-121.37622,True
28,9861 CULP WAY,SACRAMENTO,95827,CA,4,2,1380,Residential,2008-05-21,131200,38.558423,-121.327948,True
29,7825 CREEK VALLEY CIR,SACRAMENTO,95828,CA,3,2,1248,Residential,2008-05-21,132000,38.472122,-121.404199,True
31,6768 MEDORA DR,NORTH HIGHLANDS,95660,CA,3,2,1152,Residential,2008-05-21,134555,38.691161,-121.37192,True
32,3100 EXPLORER DR,SACRAMENTO,95827,CA,3,2,1380,Residential,2008-05-21,136500,38.566663,-121.332644,True
33,7944 DOMINION WAY,ELVERTA,95626,CA,3,2,1116,Residential,2008-05-21,138750,38.713182,-121.411227,True
35,3920 SHINING STAR DR,SACRAMENTO,95823,CA,3,2,1418,Residential,2008-05-21,146250,38.48742,-121.462459,True
36,5031 CORVAIR ST,NORTH HIGHLANDS,95660,CA,3,2,1082,Residential,2008-05-21,147308,38.658246,-121.375469,True
37,7661 NIXOS WAY,SACRAMENTO,95823,CA,4,2,1472,Residential,2008-05-21,148750,38.479553,-121.463317,True
38,7044 CARTHY WAY,SACRAMENTO,95828,CA,4,2,1146,Residential,2008-05-21,149593,38.49857,-121.420925,True
40,4800 WESTLAKE PKWY Unit 2109,SACRAMENTO,95835,CA,2,2,1304,Condo,2008-05-21,152000,38.658812,-121.542345,True
41,2178 63RD AVE,SACRAMENTO,95822,CA,3,2,1207,Residential,2008-05-21,154000,38.493955,-121.48966,True
43,5708 RIDGEPOINT DR,ANTELOPE,95843,CA,2,2,1043,Residential,2008-05-21,161250,38.72027,-121.331555,True
46,8421 SUNBLAZE WAY,SACRAMENTO,95823,CA,4,2,1580,Residential,2008-05-21,165000,38.450543,-121.432538,True
47,7420 ALIX PKWY,SACRAMENTO,95823,CA,4,1,1955,Residential,2008-05-21,166357,38.489405,-121.452811,True
48,3820 NATOMA WAY,SACRAMENTO,95838,CA,4,2,1656,Residential,2008-05-21,166357,38.636748,-121.422159,True
49,4431 GREEN TREE DR,SACRAMENTO,95823,CA,3,2,1477,Residential,2008-05-21,168000,38.499954,-121.454469,True
50,9417 SARA ST,ELK GROVE,95624,CA,3,2,1188,Residential,2008-05-21,170000,38.415518,-121.370527,True
51,8299 HALBRITE WAY,SACRAMENTO,95828,CA,4,2,1590,Residential,2008-05-21,173000,38.473814,-121.4,True
52,7223 KALLIE KAY LN,SACRAMENTO,95823,CA,3,2,1463,Residential,2008-05-21,174250,38.477553,-121.419463,True
53,8156 STEINBECK WAY,SACRAMENTO,95828,CA,4,2,1714,Residential,2008-05-21,174313,38.474853,-121.406326,True
57,9012 KIEFER BLVD,SACRAMENTO,95826,CA,3,2,1172,Residential,2008-05-21,181000,38.547011,-121.366217,True
60,4844 CLYDEBANK WAY,ANTELOPE,95843,CA,3,2,1215,Residential,2008-05-21,182716,38.714609,-121.347887,True
61,306 CAMELLIA WAY,GALT,95632,CA,3,2,1130,Residential,2008-05-21,182750,38.260443,-121.297864,True
62,9021 MADISON AVE,ORANGEVALE,95662,CA,4,2,1603,Residential,2008-05-21,183200,38.664186,-121.217511,True
63,404 6TH ST,GALT,95632,CA,3,1,1479,Residential,2008-05-21,188741,38.251808,-121.302493,True
65,2617 BASS CT,SACRAMENTO,95826,CA,3,2,1280,Residential,2008-05-21,192067,38.560767,-121.377471,True
66,7005 TIANT WAY,ELK GROVE,95758,CA,3,2,1586,Residential,2008-05-21,194000,38.422811,-121.423285,True
71,120 GRANT LN,FOLSOM,95630,CA,3,2,1820,Residential,2008-05-21,200000,38.687742,-121.17104,True
73,17 SERASPI CT,SACRAMENTO,95834,CA,0,0,0,Residential,2008-05-21,206000,38.631481,-121.50188,True
