street,city,state,zip,beds,baths,sq__ft,sale_date,price,latitude,longitude,s_price,n_price,s_sq__ft,n_sq__ft,b_price,p_price,d_Condo,d_Multi-Family,d_Residential,d_Unkown
3526 HIGH ST,SACRAMENTO,CA,95838,2,1,836,2008-05-21T00:00:00Z,59222.0,38.631913,-121.434879,-1.2727911277850363,0.06529489753056647,-0.554828327358073,0.14359326691858468,1,1,0.0,0.0,1.0,0.0
51 OMAHA CT,SACRAMENTO,CA,95823,3,1,1167,2008-05-21T00:00:00Z,68212.0,38.47890200000001,-121.431028,-1.2063890502300536,0.07547334300229043,-0.16359729233049924,0.20044658193060805,1,1,0.0,0.0,1.0,0.0
2796 BRANCH ST,SACRAMENTO,CA,95815,2,1,796,2008-05-21T00:00:00Z,68880.0,38.618305,-121.44383899999998,-1.2014550582604508,0.07622965018528394,-0.6021070022858764,0.136722775678461,1,1,0.0,0.0,1.0,0.0
2805 JANETTE WAY,SACRAMENTO,CA,95815,2,1,852,2008-05-21T00:00:00Z,69307.0,38.616835,-121.439146,-1.1983011442319773,0.07671309804028129,-0.5359168573869516,0.14634146341463414,1,1,0.0,0.0,1.0,0.0
2805 JANETTE WAY,SACRAMENTO,CA,95815,2,1,852,2008-05-21T00:00:00Z,69307.0,38.616835,-121.439146,-1.1983011442319773,0.07671309804028129,-0.5359168573869516,0.14634146341463414,1,1,0.0,0.0,1.0,0.0
6001 MCMAHON DR,SACRAMENTO,CA,95824,2,1,797,2008-05-21T00:00:00Z,81900.0,38.51947,-121.435768,-1.1052865321463379,0.09097084707536693,-0.6009250354126814,0.1368945379594641,1,1,0.0,0.0,1.0,0.0
5828 PEPPERMILL CT,SACRAMENTO,CA,95841,3,1,1122,2008-05-21T00:00:00Z,89921.0,38.662595,-121.327813,-1.0460416974334883,0.1000521942531976,-0.21678580162427816,0.19271727928546886,1,1,1.0,0.0,0.0,0.0
6048 OGDEN NASH WAY,SACRAMENTO,CA,95842,3,2,1104,2008-05-21T00:00:00Z,90895.0,38.681659,-121.351705,-1.0388475235137384,0.10115495352899953,-0.2380612053417897,0.18962555822741325,1,2,0.0,0.0,1.0,0.0
2561 19TH AVE,SACRAMENTO,CA,95820,3,1,1177,2008-05-21T00:00:00Z,91002.0,38.535092,-121.481367,-1.0380571984527391,0.10127609854184427,-0.15177762359854838,0.20216420474063893,1,2,0.0,0.0,1.0,0.0
11150 TRINITY RIVER DR Unit 114,RANCHO CORDOVA,CA,95670,2,2,941,2008-05-21T00:00:00Z,94905.0,38.621188,-121.270555,-1.0092287992650752,0.105695061019724,-0.4307218056725889,0.1616283064239093,1,2,1.0,0.0,0.0,0.0
7325 10TH ST,RIO LINDA,CA,95673,3,2,1146,2008-05-21T00:00:00Z,98937.0,38.700909,-121.442979,-0.9794475782748984,0.11026007683084646,-0.18841859666759608,0.1968395740295431,1,2,0.0,0.0,1.0,0.0
645 MORRISON AVE,SACRAMENTO,CA,95838,3,2,909,2008-05-21T00:00:00Z,100309.0,38.637663,-121.45152,-0.9693136905768521,0.11181345026657563,-0.4685447456148317,0.15613191343181038,1,2,0.0,0.0,1.0,0.0
4085 FAWN CIR,SACRAMENTO,CA,95823,3,2,1289,2008-05-21T00:00:00Z,106250.0,38.47074600000001,-121.458918,-0.925432184152586,0.11853982897041458,-0.01939733380069866,0.22140158021298528,1,2,0.0,0.0,1.0,0.0
2930 LA ROSA RD,SACRAMENTO,CA,95815,1,1,871,2008-05-21T00:00:00Z,106852.0,38.618698,-121.435833,-0.9209856824075248,0.1192214111922141,-0.513459486796245,0.1496049467536929,1,2,0.0,0.0,1.0,0.0
2930 LA ROSA RD,SACRAMENTO,CA,95815,1,1,871,2008-05-21T00:00:00Z,106852.0,38.618698,-121.435833,-0.9209856824075248,0.1192214111922141,-0.513459486796245,0.1496049467536929,1,2,0.0,0.0,1.0,0.0
2113 KIRK WAY,SACRAMENTO,CA,95822,3,1,1020,2008-05-21T00:00:00Z,107502.0,38.482215,-121.492603,-0.9161846423173424,0.11995733884033652,-0.33734642269017706,0.17519752662315355,1,2,0.0,0.0,1.0,0.0
4533 LOCH HAVEN WAY,SACRAMENTO,CA,95842,2,2,1022,2008-05-21T00:00:00Z,108750.0,38.672914,-121.35934,-0.9069666453441926,0.1213703199247316,-0.33498248894378685,0.17554105118515975,1,2,0.0,0.0,1.0,0.0
7340 HAMDEN PL,SACRAMENTO,CA,95842,2,2,1134,2008-05-21T00:00:00Z,148539.70833333337,38.700051,-121.351278,-0.6130712839826634,0.16642008372969647,-0.2026021991459371,0.194778426657506,1,3,1.0,0.0,0.0,0.0
6715 6TH ST,RIO LINDA,CA,95673,2,1,844,2008-05-21T00:00:00Z,113263.0,38.689591,-121.452239,-0.8736326546872807,0.12647992219546464,-0.5453725923725123,0.1449673651666094,1,2,0.0,0.0,1.0,0.0
6236 LONGFORD DR Unit 1,CITRUS HEIGHTS,CA,95621,2,1,795,2008-05-21T00:00:00Z,178384.52380952382,38.679776,-121.314089,-0.3926310446206893,0.2002102758251434,-0.6032889691590716,0.13655101339745793,2,4,1.0,0.0,0.0,0.0
250 PERALTA AVE,SACRAMENTO,CA,95833,2,1,588,2008-05-21T00:00:00Z,120000.0,38.612099,-121.469095,-0.8238717207064221,0.1341075292191581,-0.8479561119104545,0.10099622122981793,1,2,0.0,0.0,1.0,0.0
113 LEEWILL AVE,RIO LINDA,CA,95673,3,2,1356,2008-05-21T00:00:00Z,121630.0,38.689999,-121.46322,-0.8118321894033496,0.1359530093213728,0.05979444670337216,0.2329096530401924,1,2,0.0,0.0,1.0,0.0
6118 STONEHAND AVE,CITRUS HEIGHTS,CA,95621,3,2,1118,2008-05-21T00:00:00Z,178384.52380952382,38.707851,-121.320707,-0.3926310446206893,0.2002102758251434,-0.2215136691170585,0.19203023016145654,2,4,0.0,0.0,1.0,0.0
4882 BANDALIN WAY,SACRAMENTO,CA,95823,4,2,1329,2008-05-21T00:00:00Z,122682.0,38.468173,-121.444071,-0.8040618906727777,0.1371440799149494,0.027881341127104813,0.2282720714531089,1,2,0.0,0.0,1.0,0.0
7511 OAKVALE CT,NORTH HIGHLANDS,CA,95660,4,2,1240,2008-05-21T00:00:00Z,123000.0,38.702792,-121.38221,-0.80171307413635,0.13750411836433854,-0.07731371058725793,0.21298522844383366,1,2,0.0,0.0,1.0,0.0
7511 OAKVALE CT,NORTH HIGHLANDS,CA,95660,4,2,1240,2008-05-21T00:00:00Z,123000.0,38.702792,-121.38221,-0.80171307413635,0.13750411836433854,-0.07731371058725793,0.21298522844383366,1,2,0.0,0.0,1.0,0.0
9 PASTURE CT,SACRAMENTO,CA,95834,3,2,1601,2008-05-21T00:00:00Z,124100.0,38.628631,-121.488097,-0.7935882370606568,0.138749534384238,0.3493763306361684,0.27499141188594983,1,2,0.0,0.0,1.0,0.0
9 PASTURE CT,SACRAMENTO,CA,95834,3,2,1601,2008-05-21T00:00:00Z,124100.0,38.628631,-121.488097,-0.7935882370606568,0.138749534384238,0.3493763306361684,0.27499141188594983,1,2,0.0,0.0,1.0,0.0
3729 BAINBRIDGE DR,NORTH HIGHLANDS,CA,95660,3,2,901,2008-05-21T00:00:00Z,125000.0,38.701499,-121.37622,-0.7869406430896353,0.13976851112779215,-0.4780004806003924,0.15475781518378565,1,2,0.0,0.0,1.0,0.0
3828 BLACKFOOT WAY,ANTELOPE,CA,95843,3,2,1088,2008-05-21T00:00:00Z,126640.0,38.70974,-121.37377,-0.7748272496313292,0.1416253131938241,-0.2569726753129111,0.1868773617313638,1,2,0.0,0.0,1.0,0.0
4108 NORTON WAY,SACRAMENTO,CA,95820,3,1,963,2008-05-21T00:00:00Z,127281.0,38.537526,-121.478315,-0.7700926854808571,0.142351051074511,-0.40471853446229694,0.16540707660597734,1,3,0.0,0.0,1.0,0.0
4108 NORTON WAY,SACRAMENTO,CA,95820,3,1,963,2008-05-21T00:00:00Z,127281.0,38.537526,-121.478315,-0.7700926854808571,0.142351051074511,-0.40471853446229694,0.16540707660597734,1,3,0.0,0.0,1.0,0.0
1469 JANRICK AVE,SACRAMENTO,CA,95832,3,2,1119,2008-05-21T00:00:00Z,129000.0,38.476472,-121.501711,-0.7573957809962057,0.14429729665469934,-0.22033170224386345,0.19220199244245964,1,3,0.0,0.0,1.0,0.0
9861 CULP WAY,SACRAMENTO,CA,95827,4,2,1380,2008-05-21T00:00:00Z,131200.0,38.558423,-121.327948,-0.7411461068448195,0.1467881286944983,0.08816165166005424,0.23703194778426656,1,3,0.0,0.0,1.0,0.0
7825 CREEK VALLEY CIR,SACRAMENTO,CA,95828,3,2,1248,2008-05-21T00:00:00Z,132000.0,38.472122,-121.404199,-0.7352371344261337,0.14769388579987974,-0.06785797560169722,0.21435932669185848,1,3,0.0,0.0,1.0,0.0
7825 CREEK VALLEY CIR,SACRAMENTO,CA,95828,3,2,1248,2008-05-21T00:00:00Z,132000.0,38.472122,-121.404199,-0.7352371344261337,0.14769388579987974,-0.06785797560169722,0.21435932669185848,1,3,0.0,0.0,1.0,0.0
5201 LAGUNA OAKS DR Unit 140,ELK GROVE,CA,95758,2,2,1039,2008-05-21T00:00:00Z,133000.0,38.423251,-121.444489,-0.7278509189027763,0.14882608218160656,-0.3148890520994704,0.17846100996221229,1,3,1.0,0.0,0.0,0.0
5201 LAGUNA OAKS DR Unit 140,ELK GROVE,CA,95758,2,2,1039,2008-05-21T00:00:00Z,133000.0,38.423251,-121.444489,-0.7278509189027763,0.14882608218160656,-0.3148890520994704,0.17846100996221229,1,3,1.0,0.0,0.0,0.0
6768 MEDORA DR,NORTH HIGHLANDS,CA,95660,3,2,1152,2008-05-21T00:00:00Z,134555.0,38.691161,-121.37192,-0.7163653537639556,0.15058664755519174,-0.1813267954284256,0.19787014771556166,1,3,0.0,0.0,1.0,0.0
3100 EXPLORER DR,SACRAMENTO,CA,95827,3,2,1380,2008-05-21T00:00:00Z,136500.0,38.566663,-121.332644,-0.7019991645710255,0.1527887695176504,0.08816165166005424,0.23703194778426656,1,3,0.0,0.0,1.0,0.0
3100 EXPLORER DR,SACRAMENTO,CA,95827,3,2,1380,2008-05-21T00:00:00Z,136500.0,38.566663,-121.332644,-0.7019991645710255,0.1527887695176504,0.08816165166005424,0.23703194778426656,1,3,0.0,0.0,1.0,0.0
7944 DOMINION WAY,ELVERTA,CA,95626,3,2,1116,2008-05-21T00:00:00Z,138750.0,38.713182,-121.411227,-0.6853801796434714,0.1553362113765357,-0.22387760286344868,0.1916867055994504,1,3,0.0,0.0,1.0,0.0
5201 LAGUNA OAKS DR Unit 162,ELK GROVE,CA,95758,2,2,1039,2008-05-21T00:00:00Z,141000.0,38.423251,-121.444489,-0.6687611947159173,0.157883653235421,-0.3148890520994704,0.17846100996221229,1,3,1.0,0.0,0.0,0.0
3920 SHINING STAR DR,SACRAMENTO,CA,95823,3,2,1418,2008-05-21T00:00:00Z,146250.0,38.48742,-121.462459,-0.6299835632182911,0.1638276842394867,0.13307639284146755,0.2435589144623841,1,3,0.0,0.0,1.0,0.0
