,american_flow,columbia_flow
1933-01-31,10.7887,24.1
1933-02-28,14.6115,20.81
1933-03-31,19.6236,22.96
1933-04-30,21.9739,37.66
1933-05-31,28.0054,118.93
1933-06-30,66.0632,331.31
1933-07-31,113.4373,399.27
1933-08-31,162.0007,250.89
1933-09-30,156.6771,116.1
1933-10-31,17.9246,69.38
1933-11-30,7.0792,52.95
1933-12-31,4.0493,40.21
1934-01-31,11.5816,35.4
1934-02-28,18.5192,28.88
1934-03-31,53.8586,33.41
1934-04-30,75.8608,102.22
1934-05-31,89.3963,259.67
1934-06-30,116.2973,390.77
1934-07-31,87.4991,277.51
1934-08-31,45.1371,194.82
1934-09-30,18.7174,97.98
1934-10-31,5.4368,49.84
1934-11-30,5.5501,40.78
1934-12-31,4.1626,27.44
1935-01-31,6.2014,22.65
1935-02-28,33.244,27.61
1935-03-31,33.0174,28.18
1935-04-30,80.3066,34.55
1935-05-31,74.1901,95.71
1935-06-30,96.0791,291.66
1935-07-31,382.5606,339.8
1935-08-31,298.1764,208.13
1935-09-30,164.2944,103.07
1935-10-31,28.5717,47.29
1935-11-30,7.7305,30.3
1935-12-31,6.257999999999999,25.37
1936-01-31,11.8081,23.47
1936-02-29,20.1899,21.24
1936-03-31,21.4075,22.65
1936-04-30,190.3175,41.63
1936-05-31,382.2775,136.2
1936-06-30,197.2269,291.66
1936-07-31,297.0438,233.33
1936-08-31,263.7715,162.82
1936-09-30,163.6714,77.59
1936-10-31,38.6242,38.79
1936-11-30,13.1107,22.68
1936-12-31,11.8931,22.26
1937-01-31,13.8753,16.82
1937-02-28,16.2822,16.99
1937-03-31,19.5103,19.06
1937-04-30,25.5135,25.49
1937-05-31,177.7449,81.27
1937-06-30,188.1372,218.04
1937-07-31,241.3728,265.33
1937-08-31,306.9547,165.09
1937-09-30,103.3282,99.11
1937-10-31,24.7206,52.39
1937-11-30,8.9481,54.09
1937-12-31,8.3252,31.43
1938-01-31,15.7159,27.35
1938-02-28,33.2157,24.49
1938-03-31,203.5698,28.06
1938-04-30,66.403,42.76
1938-05-31,281.2146,129.41
1938-06-30,372.6497,379.45
1938-07-31,341.7844,339.8
1938-08-31,461.8478,148.38
1938-09-30,278.8077,111.85
