,american_flow,colum_flow,american_flow_resid,american_flow_trend,american_flow_seas,colum_flow_resid,colum_flow_trend,colum_flow_seas
1933-01-31,10.7887,24.1,0.26056529063786965,107.96293995627572,-90.21589692644035,0.05859310699588495,106.0611908436214,-82.63927211934154
1933-02-28,14.6115,20.81,0.26056529063786965,107.96293995627572,-58.33028998199589,0.05859310699588495,106.0611908436214,-83.51518261316875
1933-03-31,19.6236,22.96,0.26056529063786965,107.96293995627572,-11.612402173353912,0.05859310699588495,106.0611908436214,-81.17860853909464
1933-04-30,21.9739,37.66,0.26056529063786965,107.96293995627572,20.05659458590535,0.05859310699588495,106.0611908436214,-65.48058384773661
1933-05-31,28.0054,118.93,0.26056529063786965,107.96293995627572,48.84837159207821,0.05859310699588495,106.0611908436214,31.810450102880665
1933-06-30,66.0632,331.31,0.26056529063786965,107.96293995627572,67.66885384516462,0.05859310699588495,106.0611908436214,196.75526491769546
1933-07-31,113.4373,399.27,-49.64111680812754,51.88591249999998,111.19250430812755,73.12839248971193,124.18499999999997,201.9566075102881
1933-08-31,162.0007,250.89,-12.251512024176947,52.08177083333332,122.17044119084362,40.70546039094651,124.99208333333331,85.19245627572016
1933-09-30,156.6771,116.1,74.69858612397121,53.671049999999994,28.307463876028798,-3.936900720164589,125.76374999999997,-5.72684927983539
1933-10-31,17.9246,69.38,24.69315634002058,57.34279583333333,-64.11135217335391,-10.152811213991725,128.88916666666663,-49.356355452674904
1933-11-30,7.0792,52.95,28.116653870884804,62.14603749999999,-83.1834913708848,-15.119771090534954,137.4433333333333,-69.37356224279834
1933-12-31,4.0493,40.21,28.04301760545269,66.79707916666666,-90.79079677211935,-27.130635288065818,145.78499999999997,-78.44436471193414
1934-01-31,11.5816,35.4,33.988088593107015,67.80940833333334,-90.21589692644035,-25.14989454732512,143.18916666666667,-82.63927211934154
1934-02-28,18.5192,28.88,14.990156648662563,61.85933333333333,-58.33028998199589,-23.384400720164592,135.77958333333333,-83.51518261316875
1934-03-31,53.8586,33.41,14.229306340020576,51.24169583333334,-11.612402173353912,-18.099724794238725,132.68833333333336,-81.17860853909464
1934-04-30,75.8608,102.22,10.831155414094638,44.97305000000001,20.05659458590535,36.581417181069966,131.11916666666664,-65.48058384773661
1934-05-31,89.3963,259.67,-3.841084092078212,44.3890125,48.84837159207821,98.0616332304527,129.79791666666665,31.810450102880665
1934-06-30,116.2973,390.77,4.298425321502052,44.330020833333336,67.66885384516462,65.2559850823045,128.75875000000002,196.75526491769546
1934-07-31,87.4991,277.51,-67.80397097479423,44.110566666666664,111.19250430812755,-52.14202417695478,127.69541666666666,201.9566075102881
1934-08-31,45.1371,194.82,-121.53326619084362,44.499925000000005,122.17044119084362,-17.483706275720166,127.11125,85.19245627572016
1934-09-30,18.7174,97.98,-53.83513887602879,44.245075,28.307463876028798,-23.13356738683126,126.84041666666666,-5.72684927983539
1934-10-31,5.4368,49.84,25.986218840020577,43.56193333333333,-64.11135217335391,-24.606561213991768,123.80291666666668,-49.356355452674904
1934-11-30,5.5501,40.78,45.620008037551464,43.11358333333333,-83.1834913708848,-3.9981044238683126,114.15166666666666,-69.37356224279834
1934-12-31,4.1626,27.44,53.31583010545268,41.637566666666665,-90.79079677211935,2.693948045267504,103.19041666666664,-78.44436471193414
1935-01-31,6.2014,22.65,43.327926093107024,53.08937083333333,-90.21589692644035,3.6330221193415184,101.65625000000001,-82.63927211934154
1935-02-28,33.244,27.61,15.647385815329216,75.92690416666667,-58.33028998199589,6.318932613168755,104.80624999999999,-83.51518261316875
1935-03-31,33.0174,28.18,-47.90611449331275,92.53591666666667,-11.612402173353912,3.785691872427961,105.57291666666667,-81.17860853909464
1935-04-30,80.3066,34.55,-39.315573752572014,99.56557916666667,20.05659458590535,-5.648166152263386,105.67875,-65.48058384773661
1935-05-31,74.1901,95.71,-75.27865492541153,100.62038333333332,48.84837159207821,-41.23628343621401,105.13583333333334,31.810450102880665
1935-06-30,96.0791,291.66,-72.3882955118313,100.79854166666668,67.66885384516462,-9.708181584362109,104.61291666666668,196.75526491769546
1935-07-31,382.5606,339.8,170.24863319187247,101.1194625,111.19250430812755,33.28255915637857,104.56083333333333,201.9566075102881
1935-08-31,298.1764,208.13,75.19680464248971,100.80915416666667,122.17044119084362,18.607960390946502,104.32958333333333,85.19245627572016
1935-09-30,164.2944,103.07,36.205448623971186,99.78148750000001,28.307463876028798,4.9630992798354026,103.83374999999998,-5.72684927983539
1935-10-31,28.5717,47.29,-11.198476993312767,103.88152916666667,-64.11135217335391,-7.251977880658423,103.89833333333333,-49.356355452674904
1935-11-30,7.7305,30.3,-30.388300295781875,121.30229166666668,-83.1834913708848,-6.206854423868322,105.88041666666666,-69.37356224279834
1935-12-31,6.257999999999999,25.37,-41.304961561214,138.35375833333336,-90.79079677211935,-3.753135288065849,107.5675,-78.44436471193414
1936-01-31,11.8081,23.47,-36.981053073559636,139.00504999999998,-90.21589692644035,2.9780221193415457,103.13125,-82.63927211934154
1936-02-29,20.1899,21.24,-55.488122518004104,134.0083125,-58.33028998199589,7.948099279835432,96.80708333333331,-83.51518261316875
1936-03-31,21.4075,22.65,-99.52891449331274,132.54881666666665,-11.612402173353912,9.97110853909463,93.8575,-81.17860853909464
1936-04-30,190.3175,41.63,37.31919291409465,132.9417125,20.05659458590535,14.668917181069965,92.44166666666665,-65.48058384773661
1936-05-31,382.2775,136.2,199.8443867412551,133.58474166666664,48.84837159207821,12.619549897119327,91.77,31.810450102880665
1936-06-30,197.2269,291.66,-4.485666345164589,134.04371249999997,67.66885384516462,3.581818415637912,91.32291666666666,196.75526491769546
1936-07-31,297.0438,233.33,51.48665402520578,134.36464166666664,111.19250430812755,-59.542857510288115,90.91625,201.9566075102881
1936-08-31,263.7715,162.82,7.313104642489705,134.28795416666668,122.17044119084362,-12.834539609053508,90.46208333333334,85.19245627572016
1936-09-30,163.6714,77.59,1.3178527906378648,134.04608333333334,28.307463876028798,-6.818567386831292,90.13541666666669,-5.72684927983539
1936-10-31,38.6242,38.79,-24.364647826646063,127.10019999999997,-64.11135217335391,-1.1669778806584574,89.31333333333336,-49.356355452674904
1936-11-30,13.1107,22.68,-15.41698362911518,111.71117499999997,-83.1834913708848,5.7014789094649885,86.35208333333335,-69.37356224279834
1936-12-31,11.8931,22.26,-0.12634906121394351,102.8102458333333,-90.79079677211935,19.70853137860084,80.99583333333331,-78.44436471193414
1937-01-31,13.8753,16.82,3.9793135931070083,100.11188333333334,-90.21589692644035,20.197605452674885,79.26166666666666,-82.63927211934154
1937-02-28,16.2822,16.99,-24.979068351337432,99.59155833333332,-58.33028998199589,19.81559927983541,80.68958333333333,-83.51518261316875
1937-03-31,19.5103,19.06,-67.7538561599794,98.87655833333332,-11.612402173353912,18.557775205761303,81.68083333333334,-81.17860853909464
1937-04-30,25.5135,25.49,-90.32603625257201,95.78294166666666,20.05659458590535,7.8264171810699565,83.14416666666665,-65.48058384773661
1937-05-31,177.7449,81.27,33.86634507458845,95.03018333333334,48.84837159207821,-35.56003343621397,85.0195833333333,31.810450102880665
1937-06-30,188.1372,218.04,25.760266988168723,94.70807916666666,67.66885384516462,-65.42568158436214,86.71041666666667,196.75526491769546
1937-07-31,241.3728,265.33,35.54418735853912,94.63610833333334,111.19250430812755,-24.157857510288125,87.53124999999999,201.9566075102881
1937-08-31,306.9547,165.09,89.36589630915638,95.4183625,122.17044119084362,-8.384956275720143,88.28249999999998,85.19245627572016
1937-09-30,103.3282,99.11,-28.77233470936212,103.79307083333332,28.307463876028798,15.86684927983539,88.97,-5.72684927983539
1937-10-31,24.7206,52.39,-24.3339936599794,113.16594583333331,-64.11135217335391,11.68177211934156,90.06458333333335,-49.356355452674904
1937-11-30,8.9481,54.09,-27.0493211291152,119.18091249999999,-83.1834913708848,30.673562242798326,92.79000000000002,-69.37356224279834
1937-12-31,8.3252,31.43,-32.06417406121396,131.1801708333333,-90.79079677211935,8.35311471193414,101.52125000000001,-78.44436471193414
1938-01-31,15.7159,27.35,-37.12021140689298,143.05200833333333,-90.21589692644035,-1.3603112139917926,111.34958333333333,-82.63927211934154
1938-02-28,33.2157,24.49,-62.143714184670756,153.68970416666664,-58.33028998199589,-5.751067386831252,113.75625,-83.51518261316875
1938-03-31,203.5698,28.06,47.72697300668726,167.45522916666664,-11.612402173353912,-4.352224794238666,113.59083333333331,-81.17860853909464
1938-04-30,66.403,42.76,-129.86934875257202,176.21575416666667,20.05659458590535,-5.975249485596734,114.21583333333334,-65.48058384773661
1938-05-31,281.2146,129.41,54.396007574588495,177.97022083333331,48.84837159207821,-15.719200102880663,113.31875,31.810450102880665
1938-06-30,372.6497,379.45,126.47850448816871,178.50234166666667,67.66885384516462,70.63973508230453,112.05499999999999,196.75526491769546
1938-07-31,341.7844,339.8,51.711999858539116,178.87989583333334,111.19250430812755,26.23422582304525,111.60916666666665,201.9566075102881
1938-08-31,461.8478,148.38,160.9095546424897,178.7678041666667,122.17044119084362,-48.020789609053494,111.20833333333333,85.19245627572016
