,flow
1920-01-31,0.06258
1920-02-29,0.021238
1920-03-31,0.014158
1920-04-30,0.011327
1920-05-31,0.008495
1920-06-30,0.084951
1920-07-31,0.077588
1920-08-31,5.266934
1920-09-30,10.590502
1920-10-31,4.105943
1920-11-30,0.874991
1920-12-31,0.512535
1921-01-31,0.404931
1921-02-28,0.342634
1921-03-31,0.201333
1921-04-30,0.12601
1921-05-31,0.083535
1921-06-30,0.043891
1921-07-31,0.03398
1921-08-31,2.372952
1921-09-30,3.511289
1921-10-31,1.189308
1921-11-30,0.498377
1921-12-31,0.393604
1922-01-31,0.311485
1922-02-28,0.201616
1922-03-31,0.122612
1922-04-30,0.100525
1922-05-31,0.090614
1922-06-30,0.027751
1922-07-31,0.322812
1922-08-31,4.728914
1922-09-30,9.514462
1922-10-31,1.98218
1922-11-30,0.908971
1922-12-31,0.385109
1923-01-31,0.342634
1923-02-28,0.278921
1923-03-31,0.178396
1923-04-30,0.141584
1923-05-31,0.118931
1923-06-30,0.07504
1923-07-31,0.110153
1923-08-31,5.436835
1923-09-30,10.845354
1923-10-31,5.720004
1923-11-30,2.746734
1923-12-31,1.129842
1924-01-31,0.50404
1924-02-29,0.566337
1924-03-31,0.277505
1924-04-30,0.141584
1924-05-31,0.198218
1924-06-30,0.116099
1924-07-31,0.382277
1924-08-31,7.588916
1924-09-30,6.512876
1924-10-31,1.996338
1924-11-30,0.764555
1924-12-31,0.438911
1925-01-31,0.523862
1925-02-28,0.407763
1925-03-31,0.227384
1925-04-30,0.113267
1925-05-31,0.113267
1925-06-30,0.283169
1925-07-31,2.211546
1925-08-31,7.107529
1925-09-30,7.475648
1925-10-31,2.183229
1925-11-30,0.778713
1925-12-31,0.552179
1926-01-31,0.654119
1926-02-28,0.348297
1926-03-31,0.314317
1926-04-30,0.254852
1926-05-31,0.240693
1926-06-30,0.237295
1926-07-31,3.652874
1926-08-31,7.702183
1926-09-30,3.114854
1926-10-31,3.14317
1926-11-30,1.503625
1926-12-31,1.129842
1927-01-31,1.090199
1927-02-28,0.934456
1927-03-31,0.713585
1927-04-30,0.509703
1927-05-31,0.283169
1927-06-30,0.240127
1927-07-31,0.82402
1927-08-31,11.298423
1927-09-30,21.973876
1927-10-31,7.475648
1927-11-30,1.826437
1927-12-31,0.764555
1928-01-31,0.872159
1928-02-29,0.736238
1928-03-31,0.416258
1928-04-30,0.283169
1928-05-31,0.254852
1928-06-30,0.339802
1928-07-31,0.985426
1928-08-31,13.110702
1928-09-30,5.12535
1928-10-31,3.992676
1928-11-30,1.073209
1928-12-31,0.662614
1929-01-31,0.600317
1929-02-28,0.489882
1929-03-31,0.226535
1929-04-30,0.084951
1929-05-31,0.028317
1929-06-30,0.070792
1929-07-31,0.151778
1929-08-31,2.916636
1929-09-30,6.767727
1929-10-31,1.364872
1929-11-30,0.495545
1929-12-31,0.297327
1930-01-31,0.237578
1930-02-28,0.185475
1930-03-31,0.141018
1930-04-30,0.084951
1930-05-31,0.849505
1930-06-30,1.444159
1930-07-31,3.482973
1930-08-31,5.748321
1930-09-30,3.369705
1930-10-31,0.662614
1930-11-30,0.362456
1930-12-31,0.278071
1931-01-31,0.229366
1931-02-28,0.203032
1931-03-31,0.165654
1931-04-30,0.095994
1931-05-31,0.067111
1931-06-30,0.05097
1931-07-31,0.040493
1931-08-31,0.557842
