,flow
1931-01-31,1470.0
1931-02-28,3080.0
1931-03-31,2160.0
1931-04-30,1580.0
1931-05-31,1020.0
1931-06-30,806.0
1931-07-31,629.0
1931-08-31,493.0
1931-09-30,563.0
1931-10-31,654.0
1931-11-30,690.0
1931-12-31,1140.0
1932-01-31,1930.0
1932-02-29,1920.0
1932-03-31,1530.0
1932-04-30,884.0
1932-05-31,696.0
1932-06-30,655.0
1932-07-31,497.0
1932-08-31,399.0
1932-09-30,414.0
1932-10-31,546.0
1932-11-30,597.0
1932-12-31,1490.0
1933-01-31,1350.0
1933-02-28,747.0
1933-03-31,717.0
1933-04-30,632.0
1933-05-31,467.0
1933-06-30,384.0
1933-07-31,359.0
1933-08-31,356.0
1933-09-30,326.0
1933-10-31,437.0
1933-11-30,324.0
1933-12-31,713.0
1934-01-31,1220.0
1934-02-28,720.0
1934-03-31,773.0
1934-04-30,505.0
1934-05-31,363.0
1934-06-30,310.0
1934-07-31,275.0
1934-08-31,242.0
1934-09-30,277.0
1934-10-31,305.0
1934-11-30,331.0
1934-12-31,1300.0
1935-01-31,1850.0
1935-02-28,2690.0
1935-03-31,1570.0
1935-04-30,1360.0
1935-05-31,930.0
1935-06-30,698.0
1935-07-31,576.0
1935-08-31,493.0
1935-09-30,462.0
1935-10-31,628.0
1935-11-30,550.0
1935-12-31,680.0
1936-01-31,614.0
1936-02-29,602.0
1936-03-31,1850.0
1936-04-30,959.0
1936-05-31,648.0
1936-06-30,461.0
1936-07-31,392.0
1936-08-31,380.0
1936-09-30,469.0
1936-10-31,376.0
1936-11-30,625.0
1936-12-31,1340.0
1937-01-31,2630.0
1937-02-28,1610.0
1937-03-31,1130.0
1937-04-30,851.0
1937-05-31,853.0
1937-06-30,645.0
1937-07-31,480.0
1937-08-31,392.0
1937-09-30,339.0
1937-10-31,842.0
1937-11-30,1020.0
1937-12-31,2370.0
1938-01-31,1950.0
1938-02-28,1650.0
1938-03-31,1470.0
1938-04-30,955.0
1938-05-31,869.0
1938-06-30,661.0
1938-07-31,531.0
1938-08-31,505.0
1938-09-30,507.0
1938-10-31,812.0
1938-11-30,944.0
1938-12-31,1690.0
1939-01-31,2160.0
1939-02-28,2040.0
1939-03-31,1080.0
1939-04-30,973.0
1939-05-31,752.0
1939-06-30,581.0
1939-07-31,507.0
1939-08-31,424.0
1939-09-30,378.0
1939-10-31,426.0
1939-11-30,638.0
1939-12-31,1400.0
1940-01-31,2070.0
1940-02-29,2550.0
1940-03-31,2150.0
1940-04-30,1160.0
1940-05-31,843.0
1940-06-30,661.0
1940-07-31,536.0
1940-08-31,434.0
1940-09-30,409.0
1940-10-31,488.0
1940-11-30,1050.0
1940-12-31,1610.0
1941-01-31,1730.0
1941-02-28,1000.0
1941-03-31,972.0
1941-04-30,794.0
1941-05-31,514.0
1941-06-30,465.0
1941-07-31,464.0
1941-08-31,342.0
1941-09-30,610.0
1941-10-31,669.0
1941-11-30,704.0
1941-12-31,1310.0
1942-01-31,1310.0
1942-02-28,1250.0
1942-03-31,1900.0
1942-04-30,1130.0
1942-05-31,767.0
1942-06-30,639.0
1942-07-31,551.0
1942-08-31,426.0
1942-09-30,398.0
1942-10-31,545.0
1942-11-30,855.0
1942-12-31,1230.0
1943-01-31,2900.0
1943-02-28,2260.0
1943-03-31,2120.0
1943-04-30,1130.0
1943-05-31,798.0
1943-06-30,683.0
1943-07-31,560.0
1943-08-31,502.0
1943-09-30,449.0
1943-10-31,651.0
1943-11-30,659.0
1943-12-31,1090.0
1944-01-31,1000.0
1944-02-29,1530.0
1944-03-31,1650.0
1944-04-30,912.0
1944-05-31,622.0
1944-06-30,502.0
1944-07-31,430.0
1944-08-31,354.0
1944-09-30,300.0
1944-10-31,328.0
1944-11-30,513.0
1944-12-31,671.0
1945-01-31,864.0
1945-02-28,2030.0
1945-03-31,1200.0
1945-04-30,991.0
1945-05-31,635.0
1945-06-30,558.0
1945-07-31,505.0
1945-08-31,357.0
1945-09-30,321.0
1945-10-31,356.0
1945-11-30,724.0
1945-12-31,1590.0
1946-01-31,3160.0
1946-02-28,1290.0
1946-03-31,1470.0
1946-04-30,1150.0
1946-05-31,755.0
1946-06-30,630.0
1946-07-31,553.0
1946-08-31,438.0
1946-09-30,339.0
1946-10-31,492.0
1946-11-30,692.0
1946-12-31,750.0
1947-01-31,1760.0
1947-02-28,1770.0
1947-03-31,3650.0
1947-04-30,1690.0
1947-05-31,1030.0
1947-06-30,803.0
1947-07-31,700.0
1947-08-31,553.0
1947-09-30,765.0
1947-10-31,630.0
1947-11-30,708.0
1947-12-31,1220.0
1948-01-31,1520.0
1948-02-29,1750.0
1948-03-31,1840.0
1948-04-30,1080.0
1948-05-31,768.0
1948-06-30,612.0
1948-07-31,520.0
1948-08-31,449.0
1948-09-30,377.0
1948-10-31,393.0
1948-11-30,530.0
1948-12-31,1050.0
1949-01-31,1570.0
1949-02-28,2260.0
1949-03-31,1330.0
1949-04-30,947.0
1949-05-31,745.0
1949-06-30,632.0
1949-07-31,490.0
